lambda, albedo, <cos>, # of angles
   0.44500   0.65490   0.56473   161
cos(theta),     S11,               S12,             S33,             S34
-1.0000  1.4386976316E-01 -1.1182328950E-18 -1.4386976316E-01  1.3220279389E-18
-0.9875  1.3826790945E-01  3.5067924613E-03 -1.3778442199E-01  3.4734071049E-03
-0.9750  1.3361190721E-01  6.4743775169E-03 -1.3177738916E-01  6.2729605491E-03
-0.9625  1.2978827469E-01  8.9543682665E-03 -1.2587269296E-01  8.4811629506E-03
-0.9500  1.2669448688E-01  1.0994601317E-02 -1.2009083096E-01  1.0173130477E-02
-0.9375  1.2423804627E-01  1.2639272946E-02 -1.1444903751E-01  1.1417122322E-02
-0.9250  1.2233564234E-01  1.3929100370E-02 -1.0896154343E-01  1.2275037671E-02
-0.9125  1.2091238675E-01  1.4901498463E-02 -1.0363982638E-01  1.2802882241E-02
-0.9000  1.1990111419E-01  1.5590764745E-02 -9.8492850578E-02  1.3051206258E-02
-0.8875  1.1924174054E-01  1.6028267413E-02 -9.3527295181E-02  1.3065515578E-02
-0.8750  1.1888067178E-01  1.6242632563E-02 -8.8747770778E-02  1.2886657493E-02
-0.8625  1.1877025831E-01  1.6259927903E-02 -8.4157023879E-02  1.2551182663E-02
-0.8500  1.1886829026E-01  1.6103841021E-02 -7.9756129319E-02  1.2091684477E-02
-0.8375  1.1913752990E-01  1.5795850922E-02 -7.5544670706E-02  1.1537117089E-02
-0.8250  1.1954527828E-01  1.5355391981E-02 -7.1520909151E-02  1.0913093269E-02
-0.8125  1.2006297323E-01  1.4800009817E-02 -6.7681940576E-02  1.0242163159E-02
-0.8000  1.2066581638E-01  1.4145508830E-02 -6.4023841964E-02  9.5440749427E-03
-0.7875  1.2133242722E-01  1.3406091349E-02 -6.0541806958E-02  8.8360184003E-03
-0.7750  1.2204452225E-01  1.2594488449E-02 -5.7230271236E-02  8.1328522539E-03
-0.7625  1.2278661773E-01  1.1722082611E-02 -5.4083028107E-02  7.4473161728E-03
-0.7500  1.2354575423E-01  1.0799022449E-02 -5.1093334788E-02  6.7902282609E-03
-0.7375  1.2431124194E-01  9.8343298045E-03 -4.8254009812E-02  6.1706688087E-03
-0.7250  1.2507442516E-01  8.8359994968E-03 -4.5557522036E-02  5.5961510585E-03
-0.7125  1.2582846498E-01  7.8110920783E-03 -4.2996071674E-02  5.0727796930E-03
-0.7000  1.2656813890E-01  6.7658199234E-03 -4.0561663831E-02  4.6053977276E-03
-0.6875  1.2728965645E-01  5.7056270003E-03 -3.8246174930E-02  4.1977224553E-03
-0.6750  1.2799048972E-01  4.6352626651E-03 -3.6041412478E-02  3.8524710628E-03
-0.6625  1.2866921804E-01  3.5588498150E-03 -3.3939168567E-02  3.5714765099E-03
-0.6500  1.2932538569E-01  2.4799477300E-03 -3.1931267499E-02  3.3557942367E-03
-0.6375  1.2995937205E-01  1.4016099219E-03 -3.0009607909E-02  3.2058002390E-03
-0.6250  1.3057227327E-01  3.2643729956E-04 -2.8166199765E-02  3.1212810256E-03
-0.6125  1.3116579475E-01 -7.4337305279E-04 -2.6393196565E-02  3.1015159513E-03
-0.6000  1.3174215375E-01 -1.8059831994E-03 -2.4682923093E-02  3.1453523939E-03
-0.5875  1.3230399138E-01 -2.8598735064E-03 -2.3027899032E-02  3.2512742237E-03
-0.5750  1.3285429344E-01 -3.9038053645E-03 -2.1420858745E-02  3.4174639936E-03
-0.5625  1.3339631947E-01 -4.9367872338E-03 -1.9854767518E-02  3.6418592568E-03
-0.5500  1.3393353938E-01 -5.9580437759E-03 -1.8322834533E-02  3.9222034012E-03
-0.5375  1.3446957721E-01 -6.9669878485E-03 -1.6818522836E-02  4.2560913705E-03
-0.5250  1.3500816142E-01 -7.9631951535E-03 -1.5335556558E-02  4.6410106255E-03
-0.5125  1.3555308135E-01 -8.9463813364E-03 -1.3867925610E-02  5.0743776802E-03
-0.5000  1.3610814920E-01 -9.9163813505E-03 -1.2409888087E-02  5.5535705329E-03
-0.4875  1.3667716729E-01 -1.0873130906E-02 -1.0955970588E-02  6.0759572964E-03
-0.4750  1.3726390010E-01 -1.1816649841E-02 -9.5009666596E-03  6.6389213143E-03
-0.4625  1.3787205060E-01 -1.2747027246E-02 -8.0399335334E-03  7.2398830391E-03
-0.4500  1.3850524077E-01 -1.3664408214E-02 -6.5681873559E-03  7.8763189315E-03
-0.4375  1.3916699567E-01 -1.4568982054E-02 -5.0812970630E-03  8.5457776272E-03
-0.4250  1.3986073094E-01 -1.5460971861E-02 -3.5750770598E-03  9.2458936054E-03
-0.4125  1.4058974330E-01 -1.6340625306E-02 -2.0455788514E-03  9.9743985798E-03
-0.4000  1.4135720390E-01 -1.7208206537E-02 -4.8908175910E-04  1.0729130821E-02
-0.3875  1.4216615406E-01 -1.8063989095E-02  1.0979171496E-03  1.1508042611E-02
-0.3750  1.4301950332E-01 -1.8908249737E-02  2.7187138023E-03  1.2309206009E-02
-0.3625  1.4392002950E-01 -1.9741263079E-02  4.3764084241E-03  1.3130817116E-02
-0.3500  1.4487038055E-01 -2.0563296984E-02  6.0739173037E-03  1.3971198992E-02
-0.3375  1.4587307792E-01 -2.1374608598E-02  7.8139849308E-03  1.4828803393E-02
-0.3250  1.4693052143E-01 -2.2175440996E-02  9.5991964217E-03  1.5702211462E-02
-0.3125  1.4804499531E-01 -2.2966020335E-02  1.1431990161E-02  1.6590133530E-02
-0.3000  1.4921867529E-01 -2.3746553488E-02  1.3314670586E-02  1.7491408131E-02
-0.2875  1.5045363661E-01 -2.4517226087E-02  1.5249421067E-02  1.8405000377E-02
-0.2750  1.5175186283E-01 -2.5278200932E-02  1.7238316812E-02  1.9329999788E-02
-0.2625  1.5311525528E-01 -2.6029616721E-02  1.9283337772E-02  2.0265617690E-02
-0.2500  1.5454564307E-01 -2.6771587063E-02  2.1386381491E-02  2.1211184274E-02
-0.2375  1.5604479347E-01 -2.7504199741E-02  2.3549275884E-02  2.2166145414E-02
-0.2250  1.5761442275E-01 -2.8227516189E-02  2.5773791909E-02  2.3130059315E-02
-0.2125  1.5925620724E-01 -2.8941571157E-02  2.8061656122E-02  2.4102593085E-02
-0.2000  1.6097179457E-01 -2.9646372550E-02  3.0414563094E-02  2.5083519278E-02
-0.1875  1.6276281514E-01 -3.0341901407E-02  3.2834187705E-02  2.6072712503E-02
-0.1750  1.6463089360E-01 -3.1028112011E-02  3.5322197295E-02  2.7070146121E-02
-0.1625  1.6657766049E-01 -3.1704932116E-02  3.7880263694E-02  2.8075889122E-02
-0.1500  1.6860476383E-01 -3.2372263282E-02  4.0510075144E-02  2.9090103191E-02
-0.1375  1.7071388079E-01 -3.3029981302E-02  4.3213348133E-02  3.0113040037E-02
-0.1250  1.7290672932E-01 -3.3677936726E-02  4.5991839169E-02  3.1145038993E-02
-0.1125  1.7518507984E-01 -3.4315955465E-02  4.8847356525E-02  3.2186524943E-02
-0.1000  1.7755076689E-01 -3.4943839489E-02  5.1781772012E-02  3.3238006587E-02
-0.0875  1.8000570087E-01 -3.5561367607E-02  5.4797032799E-02  3.4300075060E-02
-0.0750  1.8255187976E-01 -3.6168296339E-02  5.7895173367E-02  3.5373402944E-02
-0.0625  1.8519140103E-01 -3.6764360877E-02  6.1078327632E-02  3.6458743656E-02
-0.0500  1.8792647362E-01 -3.7349276149E-02  6.4348741328E-02  3.7556931241E-02
-0.0375  1.9075943013E-01 -3.7922737982E-02  6.7708784703E-02  3.8668880554E-02
-0.0250  1.9369273929E-01 -3.8484424383E-02  7.1160965637E-02  3.9795587839E-02
-0.0125  1.9672901869E-01 -3.9033996937E-02  7.4707943250E-02  4.0938131698E-02
-0.0000  1.9987104807E-01 -3.9571102339E-02  7.8352542121E-02  4.2097674418E-02
 0.0125  2.0312178290E-01 -4.0095374059E-02  8.2097767207E-02  4.3275463669E-02
 0.0250  2.0648436880E-01 -4.0606434171E-02  8.5946819596E-02  4.4472834514E-02
 0.0375  2.0996215648E-01 -4.1103895331E-02  8.9903113213E-02  4.5691211737E-02
 0.0500  2.1355871769E-01 -4.1587362935E-02  9.3970292610E-02  4.6932112427E-02
 0.0625  2.1727786204E-01 -4.2056437457E-02  9.8152252000E-02  4.8197148797E-02
 0.0750  2.2112365505E-01 -4.2510716990E-02  1.0245315568E-01  4.9488031184E-02
 0.0875  2.2510043740E-01 -4.2949799974E-02  1.0687746002E-01  5.0806571188E-02
 0.1000  2.2921284580E-01 -4.3373288162E-02  1.1142993720E-01  5.2154684877E-02
 0.1125  2.3346583536E-01 -4.3780789785E-02  1.1611570088E-01  5.3534396018E-02
 0.1250  2.3786470397E-01 -4.4171922967E-02  1.2094023401E-01  5.4947839248E-02
 0.1375  2.4241511871E-01 -4.4546319367E-02  1.2590941903E-01  5.6397263112E-02
 0.1500  2.4712314462E-01 -4.4903628066E-02  1.3102957066E-01  5.7885032890E-02
