lambda, albedo, <cos>, # of angles
   0.36500   0.62321   0.56969   161
cos(theta),     S11,               S12,             S33,             S34
-1.0000  1.8106840741E-01  4.1035735850E-18 -1.8106840741E-01 -1.0358347401E-18
-0.9875  1.6639696963E-01  5.1064149904E-03 -1.6532321129E-01  9.7998762254E-03
-0.9750  1.5485673580E-01  9.3507596926E-03 -1.5090423957E-01  1.6874961061E-02
-0.9625  1.4591429981E-01  1.2839965064E-02 -1.3773011640E-01  2.1714137597E-02
-0.9500  1.3911143378E-01  1.5668832137E-02 -1.2572065957E-01  2.4737881041E-02
-0.9375  1.3405601772E-01  1.7921197226E-02 -1.1479731223E-01  2.6306227283E-02
-0.9250  1.3041397083E-01  1.9671056611E-02 -1.0488352215E-01  2.6725947771E-02
-0.9125  1.2790206472E-01  2.0983623943E-02 -9.5905066455E-02  2.6256999888E-02
-0.9000  1.2628151961E-01  2.1916306785E-02 -8.7790321975E-02  2.5118316346E-02
-0.8875  1.2535229956E-01  2.2519597089E-02 -8.0470483606E-02  2.3492992076E-02
-0.8750  1.2494803443E-01  2.2837875612E-02 -7.3879733830E-02  2.1532922411E-02
-0.8625  1.2493150532E-01  2.2910133475E-02 -6.7955367326E-02  1.9362942139E-02
-0.8500  1.2519063707E-01  2.2770615804E-02 -6.2637874805E-02  1.7084511060E-02
-0.8375  1.2563494792E-01  2.2449393347E-02 -5.7870990330E-02  1.4778988078E-02
-0.8250  1.2619241082E-01  2.1972868284E-02 -5.3601706257E-02  1.2510532490E-02
-0.8125  1.2680668569E-01  2.1364220482E-02 -4.9780259791E-02  1.0328668046E-02
-0.8000  1.2743468527E-01  2.0643800192E-02 -4.6360094938E-02  8.2705424558E-03
-0.7875  1.2804444105E-01  1.9829472900E-02 -4.3297803356E-02  6.3629123205E-03
-0.7750  1.2861323831E-01  1.8936921583E-02 -4.0553047355E-02  4.6238810227E-03
-0.7625  1.2912599241E-01  1.7979911267E-02 -3.8088468028E-02  3.0644147495E-03
-0.7500  1.2957384076E-01  1.6970520274E-02 -3.5869581219E-02  1.6896597052E-03
-0.7375  1.2995292738E-01  1.5919342182E-02 -3.3864663768E-02  5.0008156939E-04
-0.7250  1.3026335876E-01  1.4835662100E-02 -3.2044632248E-02 -5.0755359054E-04
-0.7125  1.3050831204E-01  1.3727610465E-02 -3.0382916154E-02 -1.3393394528E-03
-0.7000  1.3069327802E-01  1.2602297252E-02 -2.8855327289E-02 -2.0035147061E-03
-0.6875  1.3082542320E-01  1.1465929142E-02 -2.7439926906E-02 -2.5098589953E-03
-0.6750  1.3091305670E-01  1.0323911891E-02 -2.6116891949E-02 -2.8691864532E-03
-0.6625  1.3096518910E-01  9.1809399083E-03 -2.4868381578E-02 -3.0929249698E-03
-0.6500  1.3099117161E-01  8.0410747630E-03 -2.3678405011E-02 -3.1927705039E-03
-0.6375  1.3100040515E-01  6.9078141599E-03 -2.2532691541E-02 -3.1804068029E-03
-0.6250  1.3100210995E-01  5.7841527007E-03 -2.1418563482E-02 -3.0672818686E-03
-0.6125  1.3100514732E-01  4.6726355820E-03 -2.0324812667E-02 -2.8644334045E-03
-0.6000  1.3101788599E-01  3.5754062246E-03 -1.9241580997E-02 -2.5823563000E-03
-0.5875  1.3104810649E-01  2.4942486837E-03 -1.8160245464E-02 -2.2309059572E-03
-0.5750  1.3110293757E-01  1.4306255719E-03 -1.7073307970E-02 -1.8192319539E-03
-0.5625  1.3118881934E-01  3.8571211487E-04 -1.5974290173E-02 -1.3557371614E-03
-0.5500  1.3131148868E-01 -6.3957313454E-04 -1.4857633549E-02 -8.4805800788E-04
-0.5375  1.3147598269E-01 -1.6445404800E-03 -1.3718604770E-02 -3.0306209502E-04
-0.5250  1.3168665673E-01 -2.6287037927E-03 -1.2553206442E-02  2.7314015338E-04
-0.5125  1.3194721382E-01 -3.5917574393E-03 -1.1358093231E-02  8.7517270649E-04
-0.5000  1.3226074299E-01 -4.5335551717E-03 -1.0130493316E-02  1.4983625166E-03
-0.4875  1.3262976386E-01 -5.4540907666E-03 -8.8681350973E-03  2.1387016498E-03
-0.4750  1.3305627592E-01 -6.3534802408E-03 -7.5691790716E-03  2.7928048108E-03
-0.4625  1.3354181050E-01 -7.2319455019E-03 -6.2321547138E-03  3.4578638387E-03
-0.4500  1.3408748416E-01 -8.0897993169E-03 -4.8559022283E-03  4.1316004998E-03
-0.4375  1.3469405237E-01 -8.9274315057E-03 -3.4395189874E-03  4.8122186843E-03
-0.4250  1.3536196242E-01 -9.7452962808E-03 -1.9823104682E-03  5.4983569160E-03
-0.4125  1.3609140488E-01 -1.0543900669E-02 -4.8374548730E-04  6.1890419119E-03
-0.4000  1.3688236287E-01 -1.1323793963E-02  1.0565844770E-03  6.8836437763E-03
-0.3875  1.3773465888E-01 -1.2085558149E-02  2.6390020918E-03  7.5818332815E-03
-0.3750  1.3864799857E-01 -1.2829799281E-02  4.2637773256E-03  8.2835415700E-03
-0.3625  1.3962201148E-01 -1.3557139750E-02  5.9311571761E-03  8.9889225154E-03
-0.3500  1.4065628840E-01 -1.4268211421E-02  7.6413921915E-03  9.6983178921E-03
-0.3375  1.4175041538E-01 -1.4963649594E-02  9.3947600054E-03  1.0412225432E-02
-0.3250  1.4290400444E-01 -1.5644087762E-02  1.1191586104E-02  1.1131269786E-02
-0.3125  1.4411672086E-01 -1.6310153112E-02  1.3032262039E-02  1.1856176353E-02
-0.3000  1.4538830730E-01 -1.6962462751E-02  1.4917261292E-02  1.2587747907E-02
-0.2875  1.4671860490E-01 -1.7601620587E-02  1.6847152999E-02  1.3326843908E-02
-0.2750  1.4810757138E-01 -1.8228214855E-02  1.8822613719E-02  1.4074362368E-02
-0.2625  1.4955529642E-01 -1.8842816203E-02  2.0844437451E-02  1.4831224113E-02
-0.2500  1.5106201454E-01 -1.9445976320E-02  2.2913544060E-02  1.5598359277E-02
-0.2375  1.5262811565E-01 -2.0038227039E-02  2.5030986302E-02  1.6376695853E-02
-0.2250  1.5425415350E-01 -2.0620079868E-02  2.7197955599E-02  1.7167150119E-02
-0.2125  1.5594085218E-01 -2.1192025886E-02  2.9415786721E-02  1.7970618755E-02
-0.2000  1.5768911108E-01 -2.1754535960E-02  3.1685961529E-02  1.8787972478E-02
-0.1875  1.5950000828E-01 -2.2308061220E-02  3.4010111895E-02  1.9620051015E-02
-0.1750  1.6137480276E-01 -2.2853033733E-02  3.6390021954E-02  2.0467659256E-02
-0.1625  1.6331493558E-01 -2.3389867327E-02  3.8827629781E-02  2.1331564418E-02
-0.1500  1.6532203014E-01 -2.3918958497E-02  4.1325028624E-02  2.2212494083E-02
-0.1375  1.6739789187E-01 -2.4440687352E-02  4.3884467774E-02  2.3111134973E-02
-0.1250  1.6954450735E-01 -2.4955418540E-02  4.6508353190E-02  2.4028132336E-02
-0.1125  1.7176404314E-01 -2.5463502105E-02  4.9199247938E-02  2.4964089839E-02
-0.1000  1.7405884439E-01 -2.5965274215E-02  5.1959872551E-02  2.5919569866E-02
-0.0875  1.7643143342E-01 -2.6461057743E-02  5.4793105351E-02  2.6895094155E-02
-0.0750  1.7888450839E-01 -2.6951162617E-02  5.7701982828E-02  2.7891144686E-02
-0.0625  1.8142094208E-01 -2.7435885943E-02  6.0689700116E-02  2.8908164783E-02
-0.0500  1.8404378109E-01 -2.7915511832E-02  6.3759611627E-02  2.9946560392E-02
-0.0375  1.8675624531E-01 -2.8390310921E-02  6.6915231896E-02  3.1006701491E-02
-0.0250  1.8956172787E-01 -2.8860539547E-02  7.0160236682E-02  3.2088923654E-02
-0.0125  1.9246379574E-01 -2.9326438572E-02  7.3498464370E-02  3.3193529729E-02
-0.0000  1.9546619076E-01 -2.9788231818E-02  7.6933917725E-02  3.4320791685E-02
 0.0125  1.9857283154E-01 -3.0246124122E-02  8.0470766027E-02  3.5470952622E-02
 0.0250  2.0178781594E-01 -3.0700298996E-02  8.4113347656E-02  3.6644229000E-02
 0.0375  2.0511542443E-01 -3.1150915891E-02  8.7866173147E-02  3.7840813125E-02
 0.0500  2.0856012421E-01 -3.1598107081E-02  9.1733928803E-02  3.9060875959E-02
 0.0625  2.1212657435E-01 -3.2041974161E-02  9.5721480893E-02  4.0304570314E-02
 0.0750  2.1581963175E-01 -3.2482584203E-02  9.9833880528E-02  4.1572034504E-02
 0.0875  2.1964435823E-01 -3.2919965567E-02  1.0407636928E-01  4.2863396555E-02
 0.1000  2.2360602862E-01 -3.3354103414E-02  1.0845438567E-01  4.4178779042E-02
 0.1125  2.2771014003E-01 -3.3784934960E-02  1.1297357255E-01  4.5518304664E-02
 0.1250  2.3196242249E-01 -3.4212344497E-02  1.1763978564E-01  4.6882102656E-02
 0.1375  2.3636885074E-01 -3.4636158252E-02  1.2245910324E-01  4.8270316135E-02
 0.1500  2.4093565776E-01 -3.5056139126E-02  1.2743783744E-01  4.9683110507E-02
 0.1625  2.4566934971E-01 -3.5471981373E-02  1.3258254682E-01  5.1120683014E-02
 0.1750  2.5057672289E-01 -3.5883305307E-02  1.3790005117E-01  5.2583273562E-02
 0.1875  2.5566488258E-01 -3.6289652082E-02  1.4339744828E-01  5.4071176902E-02
 0.2000  2.6094126427E-01 -3.6690478663E-02  1.4908213325E-01  5.5584756300E-02
 0.2125  2.6641365739E-01 -3.7085153041E-02  1.5496182065E-01  5.7124458755E-02
 0.2250  2.7209023202E-01 -3.7472949814E-02  1.6104457008E-01  5.8690831882E-02
 0.2375  2.7797956887E-01 -3.7853046218E-02  1.6733881546E-01  6.0284542509E-02
 0.2500  2.8409069309E-01 -3.8224518729E-02  1.7385339883E-01  6.1906397058E-02
 0.2625  2.9043311238E-01 -3.8586340338E-02  1.8059760919E-01  6.3557363751E-02
 0.2750  2.9701686007E-01 -3.8937378627E-02  1.8758122725E-01  6.5238596647E-02
 0.2875  3.0385254391E-01 -3.9276394772E-02  1.9481457683E-01  6.6951461506E-02
 0.3000  3.1095140133E-01 -3.9602043606E-02  2.0230858407E-01  6.8697563438E-02
 0.3125  3.1832536221E-01 -3.9912874870E-02  2.1007484540E-01  7.0478776248E-02
 0.3250  3.2598712023E-01 -4.0207335818E-02  2.1812570564E-01  7.2297273350E-02
 0.3375  3.3395021400E-01 -4.0483775299E-02  2.2647434759E-01  7.4155560082E-02
 0.3500  3.4222911948E-01 -4.0740449491E-02  2.3513489476E-01  7.6056507172E-02
 0.3625  3.5083935522E-01 -4.0975529426E-02  2.4412252900E-01  7.8003385046E-02
 0.3750  3.5979760237E-01 -4.1187110483E-02  2.5345362503E-01  7.9999898602E-02
 0.3875  3.6912184139E-01 -4.1373223994E-02  2.6314590417E-01  8.2050221969E-02
 0.4000  3.7883150801E-01 -4.1531851140E-02  2.7321860982E-01  8.4159032672E-02
 0.4125  3.8894767094E-01 -4.1660939291E-02  2.8369270735E-01  8.6331544509E-02
 0.4250  3.9949323443E-01 -4.1758420950E-02  2.9459111176E-01  8.8573538329E-02
 0.4375  4.1049316903E-01 -4.1822235455E-02  3.0593894653E-01  9.0891389729E-02
 0.4500  4.2197477444E-01 -4.1850353590E-02  3.1776383746E-01  9.3292092556E-02
 0.4625  4.3396797868E-01 -4.1840805235E-02  3.3009624616E-01  9.5783276879E-02
 0.4750  4.4650567845E-01 -4.1791710180E-02  3.4296984770E-01  9.8373219936E-02
 0.4875  4.5962412616E-01 -4.1701312207E-02  3.5642195819E-01  1.0107084829E-01
 0.5000  4.7336336976E-01 -4.1568016519E-02  3.7049401806E-01  1.0388572923E-01
 0.5125  4.8776775219E-01 -4.1390430568E-02  3.8523213799E-01  1.0682804908E-01
 0.5250  5.0288647832E-01 -4.1167408290E-02  4.0068771493E-01  1.0990857587E-01
 0.5375  5.1877425809E-01 -4.0898097727E-02  4.1691812669E-01  1.1313860345E-01
 0.5500  5.3549203561E-01 -4.0581991948E-02  4.3398751456E-01  1.1652987372E-01
 0.5625  5.5310781551E-01 -4.0218983117E-02  4.5196766445E-01  1.2009447313E-01
 0.5750  5.7169759895E-01 -3.9809419494E-02  4.7093899873E-01  1.2384469951E-01
 0.5875  5.9134644376E-01 -3.9354165046E-02  4.9099169198E-01  1.2779289422E-01
 0.6000  6.1214966459E-01 -3.8854661242E-02  5.1222692613E-01  1.3195123460E-01
 0.6125  6.3421419199E-01 -3.8312990491E-02  5.3475830232E-01  1.3633148067E-01
 0.6250  6.5766011122E-01 -3.7731940503E-02  5.5871342934E-01  1.4094466956E-01
 0.6375  6.8262240544E-01 -3.7115068684E-02  5.8423571181E-01  1.4580075030E-01
 0.6500  7.0925293148E-01 -3.6466765479E-02  6.1148636449E-01  1.5090815088E-01
 0.6625  7.3772266123E-01 -3.5792315271E-02  6.4064668411E-01  1.5627326830E-01
 0.6750  7.6822422751E-01 -3.5097953183E-02  6.7192061560E-01  1.6189987156E-01
 0.6875  8.0097482058E-01 -3.4390915738E-02  7.0553765676E-01  1.6778840612E-01
 0.7000  8.3621949101E-01 -3.3679482886E-02  7.4175615477E-01  1.7393518722E-01
 0.7125  8.7423492634E-01 -3.2973008384E-02  7.8086706036E-01  1.8033146746E-01
 0.7250  9.1533378529E-01 -3.2281934861E-02  8.2319822110E-01  1.8696236251E-01
 0.7375  9.5986969435E-01 -3.1617789080E-02  8.6911931813E-01  1.9380561594E-01
 0.7500  1.0082430408E+00 -3.0993151892E-02  9.1904758012E-01  2.0083018086E-01
 0.7625  1.0609077366E+00 -3.0421595976E-02  9.7345445187E-01  2.0799459100E-01
 0.7750  1.1183791854E+00 -2.9917582431E-02  1.0328734551E+00  2.1524508586E-01
 0.7875  1.1812437674E+00 -2.9496304147E-02  1.0979095678E+00  2.2251344155E-01
 0.8000  1.2501702781E+00 -2.9173458525E-02  1.1692505786E+00  2.2971443678E-01
 0.8125  1.3259239408E+00 -2.8964922643E-02  1.2476810650E+00  2.3674284362E-01
 0.8250  1.4093838866E+00 -2.8886286399E-02  1.3340999362E+00  2.4346976387E-01
 0.8375  1.5015654208E+00 -2.8952166438E-02  1.4295429225E+00  2.4973800745E-01
 0.8500  1.6036490547E+00 -2.9175162177E-02  1.5352120641E+00  2.5535599007E-01
 0.8625  1.7170193144E+00 -2.9564200622E-02  1.6525152903E+00  2.6008923983E-01
 0.8750  1.8433179762E+00 -3.0121804684E-02  1.7831207678E+00  2.6364792254E-01
