lambda, albedo, <cos>, # of angles
   0.55100   0.67312   0.53689   161
cos(theta),     S11,               S12,             S33,             S34
-1.0000  1.3876926776E-01 -3.1318315952E-18 -1.3876926776E-01  2.5323341986E-18
-0.9875  1.3596774397E-01  1.1405344597E-03 -1.3576399546E-01  7.3382150725E-04
-0.9750  1.3350743413E-01  2.1239128722E-03 -1.3271616355E-01  1.3930310991E-03
-0.9625  1.3136164055E-01  2.9567813595E-03 -1.2963279678E-01  1.9852524854E-03
-0.9500  1.2950568691E-01  3.6460158552E-03 -1.2652060650E-01  2.5174967462E-03
-0.9375  1.2791673304E-01  4.1986194563E-03 -1.2338597392E-01  2.9962213766E-03
-0.9250  1.2657361357E-01  4.6216389064E-03 -1.2023493822E-01  3.4273820982E-03
-0.9125  1.2545669668E-01  4.9220971027E-03 -1.1707318904E-01  3.8164784312E-03
-0.9000  1.2454776016E-01  5.1069390013E-03 -1.1390606234E-01  4.1685938823E-03
-0.8875  1.2382988211E-01  5.1829887060E-03 -1.1073853932E-01  4.4884314889E-03
-0.8750  1.2328734416E-01  5.1569158727E-03 -1.0757524772E-01  4.7803453556E-03
-0.8625  1.2290554539E-01  5.0352098561E-03 -1.0442046521E-01  5.0483687328E-03
-0.8500  1.2267092537E-01  4.8241602736E-03 -1.0127812436E-01  5.2962391093E-03
-0.8375  1.2257089506E-01  4.5298428734E-03 -9.8151819097E-02  5.5274207257E-03
-0.8250  1.2259377444E-01  4.1581097701E-03 -9.5044812149E-02  5.7451248569E-03
-0.8125  1.2272873589E-01  3.7145832642E-03 -9.1960043451E-02  5.9523281649E-03
-0.8000  1.2296575257E-01  3.2046525866E-03 -8.8900139212E-02  6.1517893765E-03
-0.7875  1.2329555118E-01  2.6334730181E-03 -8.5867421540E-02  6.3460645087E-03
-0.7750  1.2370956839E-01  2.0059669243E-03 -8.2863918455E-02  6.5375208285E-03
-0.7625  1.2419991065E-01  1.3268263217E-03 -7.9891374209E-02  6.7283497092E-03
-0.7500  1.2475931676E-01  6.0051665706E-04 -7.6951259780E-02  6.9205785208E-03
-0.7375  1.2538112307E-01 -1.6871846739E-04 -7.4044783491E-02  7.1160816719E-03
-0.7250  1.2605923090E-01 -9.7685184025E-04 -7.1172901655E-02  7.3165909046E-03
-0.7125  1.2678807593E-01 -1.8200666423E-03 -6.8336329211E-02  7.5237049267E-03
-0.7000  1.2756259942E-01 -2.6947500515E-03 -6.5535550276E-02  7.7388984551E-03
-0.6875  1.2837822100E-01 -3.5974865760E-03 -6.2770828591E-02  7.9635307336E-03
-0.6750  1.2923081304E-01 -4.5250512133E-03 -6.0042217811E-02  8.1988535760E-03
-0.6625  1.3011667624E-01 -5.4744025209E-03 -5.7349571608E-02  8.4460189827E-03
-0.6500  1.3103251653E-01 -6.4426756623E-03 -5.4692553560E-02  8.7060863672E-03
-0.6375  1.3197542312E-01 -7.4271754830E-03 -5.2070646814E-02  8.9800294276E-03
-0.6250  1.3294284763E-01 -8.4253696592E-03 -4.9483163481E-02  9.2687426902E-03
-0.6125  1.3393258415E-01 -9.4348819538E-03 -4.6929253765E-02  9.5730477507E-03
-0.6000  1.3494275039E-01 -1.0453485605E-02 -4.4407914799E-02  9.8936992331E-03
-0.5875  1.3597176958E-01 -1.1479096873E-02 -4.1917999179E-02  1.0231390486E-02
-0.5750  1.3701835337E-01 -1.2509768749E-02 -3.9458223187E-02  1.0586759028E-02
-0.5625  1.3808148545E-01 -1.3543684856E-02 -3.7027174687E-02  1.0960391764E-02
-0.5500  1.3916040597E-01 -1.4579153537E-02 -3.4623320687E-02  1.1352829978E-02
-0.5375  1.4025459683E-01 -1.5614602136E-02 -3.2245014562E-02  1.1764574108E-02
-0.5250  1.4136376757E-01 -1.6648571484E-02 -2.9890502926E-02  1.2196088329E-02
-0.5125  1.4248784205E-01 -1.7679710592E-02 -2.7557932152E-02  1.2647804934E-02
-0.5000  1.4362694583E-01 -1.8706771538E-02 -2.5245354529E-02  1.3120128533E-02
-0.4875  1.4478139420E-01 -1.9728604567E-02 -2.2950734051E-02  1.3613440070E-02
-0.4750  1.4595168089E-01 -2.0744153387E-02 -2.0671951841E-02  1.4128100664E-02
-0.4625  1.4713846744E-01 -2.1752450672E-02 -1.8406811191E-02  1.4664455285E-02
-0.4500  1.4834257318E-01 -2.2752613756E-02 -1.6153042227E-02  1.5222836262E-02
-0.4375  1.4956496588E-01 -2.3743840534E-02 -1.3908306191E-02  1.5803566633E-02
-0.4250  1.5080675295E-01 -2.4725405542E-02 -1.1670199325E-02  1.6406963334E-02
-0.4125  1.5206917331E-01 -2.5696656237E-02 -9.4362563731E-03  1.7033340239E-02
-0.4000  1.5335358983E-01 -2.6657009460E-02 -7.2039536818E-03  1.7683011047E-02
-0.3875  1.5466148235E-01 -2.7605948080E-02 -4.9707118970E-03  1.8356292023E-02
-0.3750  1.5599444131E-01 -2.8543017817E-02 -2.7338982598E-03  1.9053504588E-02
-0.3625  1.5735416193E-01 -2.9467824241E-02 -4.9082848972E-04  1.9774977767E-02
-0.3500  1.5874243899E-01 -3.0380029938E-02  1.7612317447E-03  2.0521050495E-02
-0.3375  1.6016116217E-01 -3.1279351847E-02  4.0250657755E-03  2.1292073775E-02
-0.3250  1.6161231193E-01 -3.2165558753E-02  6.3035053093E-03  2.2088412702E-02
