lambda, albedo, <cos>, # of angles
   0.15380   0.38632   0.66109   161
cos(theta),     S11,               S12,             S33,             S34
-1.0000  9.6182681657E-02 -4.9749597335E-19 -9.6182681657E-02 -6.6779724773E-19
-0.9875  9.4288796212E-02 -1.6070920566E-03 -9.4156904929E-02  1.6565098745E-03
-0.9750  9.2767519560E-02 -3.0073949581E-03 -9.2275893146E-02  3.0821298160E-03
-0.9625  9.1552590708E-02 -4.2445159866E-03 -9.0515469344E-02  4.3170195708E-03
-0.9500  9.0593426452E-02 -5.3502121095E-03 -8.8856212695E-02  5.3929994304E-03
-0.9375  8.9850340095E-02 -6.3484450866E-03 -8.7282497236E-02  6.3358264304E-03
-0.9250  8.9291475434E-02 -7.2578642329E-03 -8.5781673536E-02  7.1667320953E-03
-0.9125  8.8890754964E-02 -8.0933825449E-03 -8.4343391423E-02  7.9034730566E-03
-0.9000  8.8626476432E-02 -8.8671961333E-03 -8.2959064250E-02  8.5610611025E-03
-0.8875  8.8480341663E-02 -9.5894525019E-03 -8.1621464276E-02  9.1522856173E-03
-0.8750  8.8436776614E-02 -1.0268697876E-02 -8.0324428038E-02  9.6881030878E-03
-0.8625  8.8482445274E-02 -1.0912188402E-02 -7.9062645122E-02  1.0177940093E-02
-0.8500  8.8605889685E-02 -1.1526119243E-02 -7.7831504164E-02  1.0629936261E-02
-0.8375  8.8797250646E-02 -1.2115803566E-02 -7.6626974808E-02  1.1051141144E-02
-0.8250  8.9048040719E-02 -1.2685818129E-02 -7.5445511270E-02  1.1447672513E-02
-0.8125  8.9350953522E-02 -1.3240122632E-02 -7.4283970037E-02  1.1824841536E-02
-0.8000  8.9699701376E-02 -1.3782155265E-02 -7.3139539372E-02  1.2187250722E-02
-0.7875  9.0088877661E-02 -1.4314905754E-02 -7.2009681094E-02  1.2538871669E-02
-0.7750  9.0513841736E-02 -1.4840968280E-02 -7.0892085580E-02  1.2883110262E-02
-0.7625  9.0970624017E-02 -1.5362578505E-02 -6.9784639792E-02  1.3222866357E-02
-0.7500  9.1455847835E-02 -1.5881640480E-02 -6.8685406298E-02  1.3560593086E-02
-0.7375  9.1966663854E-02 -1.6399749653E-02 -6.7592609625E-02  1.3898358141E-02
-0.7250  9.2500692718E-02 -1.6918217390E-02 -6.6504625517E-02  1.4237906495E-02
-0.7125  9.3055972201E-02 -1.7438100450E-02 -6.5419969079E-02  1.4580721600E-02
-0.7000  9.3630906516E-02 -1.7960236313E-02 -6.4337279128E-02  1.4928080835E-02
-0.6875  9.4224217002E-02 -1.8485282753E-02 -6.3255298076E-02  1.5281101072E-02
-0.6750  9.4834894953E-02 -1.9013758220E-02 -6.2172848658E-02  1.5640771514E-02
-0.6625  9.5462158275E-02 -1.9546078769E-02 -6.1088810274E-02  1.6007973150E-02
-0.6500  9.6105413966E-02 -2.0082587712E-02 -6.0002098319E-02  1.6383486536E-02
-0.6375  9.6764227962E-02 -2.0623575492E-02 -5.8911649419E-02  1.6767991635E-02
-0.6250  9.7438302886E-02 -2.1169289329E-02 -5.7816414259E-02  1.7162064563E-02
-0.6125  9.8127463078E-02 -2.1719934158E-02 -5.6715357929E-02  1.7566176068E-02
-0.6000  9.8831645155E-02 -2.2275668026E-02 -5.5607466011E-02  1.7980695455E-02
-0.5875  9.9550891743E-02 -2.2836595867E-02 -5.4491753366E-02  1.8405901746E-02
-0.5750  1.0028534586E-01 -2.3402765406E-02 -5.3367272147E-02  1.8842001661E-02
-0.5625  1.0103524400E-01 -2.3974167889E-02 -5.2233115961E-02  1.9289152028E-02
-0.5500  1.0180090678E-01 -2.4550744733E-02 -5.1088418321E-02  1.9747482979E-02
-0.5375  1.0258272724E-01 -2.5132399475E-02 -4.9932345132E-02  2.0217118028E-02
-0.5250  1.0338115766E-01 -2.5719012938E-02 -4.8764082549E-02  2.0698187852E-02
-0.5125  1.0419669664E-01 -2.6310458755E-02 -4.7582822780E-02  2.1190836126E-02
-0.5000  1.0502987808E-01 -2.6906616359E-02 -4.6387750841E-02  2.1695217626E-02
-0.4875  1.0588126344E-01 -2.7507379317E-02 -4.5178034964E-02  2.2211490559E-02
-0.4750  1.0675143807E-01 -2.8112658056E-02 -4.3952822319E-02  2.2739806247E-02
-0.4625  1.0764101114E-01 -2.8722377455E-02 -4.2711240259E-02  2.3280299619E-02
-0.4500  1.0855061838E-01 -2.9336470900E-02 -4.1452401872E-02  2.3833083409E-02
-0.4375  1.0948092601E-01 -2.9954873065E-02 -4.0175413573E-02  2.4398247694E-02
-0.4250  1.1043263429E-01 -3.0577513694E-02 -3.8879382058E-02  2.4975864832E-02
-0.4125  1.1140647949E-01 -3.1204314057E-02 -3.7563418309E-02  2.5565998346E-02
-0.4000  1.1240323366E-01 -3.1835186798E-02 -3.6226637292E-02  2.6168713369E-02
-0.3875  1.1342370233E-01 -3.2470038835E-02 -3.4868153287E-02  2.6784085992E-02
-0.3750  1.1446872085E-01 -3.3108776116E-02 -3.3487072054E-02  2.7412209401E-02
-0.3625  1.1553915063E-01 -3.3751308650E-02 -3.2082481833E-02  2.8053195774E-02
-0.3500  1.1663587625E-01 -3.4397554351E-02 -3.0653445403E-02  2.8707174247E-02
-0.3375  1.1775980437E-01 -3.5047440802E-02 -2.9198994938E-02  2.9374286343E-02
-0.3250  1.1891186465E-01 -3.5700904826E-02 -2.7718130417E-02  3.0054680892E-02
-0.3125  1.2009301240E-01 -3.6357890518E-02 -2.6209821150E-02  3.0748510413E-02
-0.3000  1.2130423234E-01 -3.7018346836E-02 -2.4673009040E-02  3.1455930178E-02
-0.2875  1.2254654237E-01 -3.7682225902E-02 -2.3106611646E-02  3.2177100171E-02
-0.2750  1.2382099676E-01 -3.8349482749E-02 -2.1509523314E-02  3.2912189030E-02
-0.2625  1.2512868820E-01 -3.9020076632E-02 -1.9880613329E-02  3.3661378376E-02
-0.2500  1.2647074872E-01 -3.9693973307E-02 -1.8218721135E-02  3.4424865813E-02
-0.2375  1.2784834988E-01 -4.0371147246E-02 -1.6522649686E-02  3.5202865411E-02
-0.2250  1.2926270298E-01 -4.1051582707E-02 -1.4791158645E-02  3.5995605481E-02
-0.2125  1.3071505974E-01 -4.1735272937E-02 -1.3022959164E-02  3.6803324522E-02
