lambda, albedo, <cos>, # of angles
   0.23000   0.45948   0.54510   161
cos(theta),     S11,               S12,             S33,             S34
-1.0000  3.6467608185E-01  6.2989039206E-18 -3.6467608185E-01 -3.3406985595E-18
-0.9875  2.9415634920E-01 -3.2340333228E-03 -2.9182153800E-01  2.4042258239E-02
-0.9750  2.4444305740E-01 -3.5795155015E-03 -2.3643528212E-01  3.8177897850E-02
-0.9625  2.0981710270E-01 -2.1721783531E-03 -1.9431416889E-01  4.5424656454E-02
-0.9500  1.8603775914E-01  1.9795962881E-04 -1.6223777710E-01  4.7992005961E-02
-0.9375  1.6997917797E-01  2.9931468196E-03 -1.3774675720E-01  4.7481659500E-02
-0.9250  1.5935293173E-01  5.8583688356E-03 -1.1896936290E-01  4.5041129813E-02
-0.9125  1.5249668564E-01  8.5695682023E-03 -1.0448594484E-01  4.1480739526E-02
-0.9000  1.4821375007E-01  1.0995205901E-02 -9.3223381876E-02  3.7362310354E-02
-0.8875  1.4565172886E-01  1.3067895816E-02 -8.4373108881E-02  3.3066017183E-02
-0.8750  1.4421112575E-01  1.4763641124E-02 -7.7327712008E-02  2.8840498383E-02
-0.8625  1.4347682666E-01  1.6086789140E-02 -7.1632097138E-02  2.4840198839E-02
-0.8500  1.4316698149E-01  1.7059265462E-02 -6.6946057976E-02  2.1153033610E-02
-0.8375  1.4309506508E-01  1.7712989021E-02 -6.3015724813E-02  1.7820755011E-02
-0.8250  1.4314187816E-01  1.8084632671E-02 -5.9651898375E-02  1.4853849504E-02
-0.8125  1.4323501369E-01  1.8212097424E-02 -5.6713692571E-02  1.2242354560E-02
-0.8000  1.4333390668E-01  1.8132225487E-02 -5.4096246270E-02  9.9636463681E-03
-0.7875  1.4341904405E-01  1.7879398153E-02 -5.1721533613E-02  7.9879875059E-03
-0.7750  1.4348426216E-01  1.7484756825E-02 -4.9531517822E-02  6.2824236313E-03
-0.7625  1.4353132801E-01  1.6975855379E-02 -4.7483064956E-02  4.8134667097E-03
-0.7500  1.4356620315E-01  1.6376604383E-02 -4.5544170061E-02  3.5488885704E-03
-0.7375  1.4359654196E-01  1.5707406465E-02 -4.3691155260E-02  2.4588639249E-03
-0.7250  1.4363009023E-01  1.4985410541E-02 -4.1906583043E-02  1.5166394314E-03
-0.7125  1.4367373449E-01  1.4224833231E-02 -4.0177693082E-02  6.9885942767E-04
-0.7000  1.4373301561E-01  1.3437310740E-02 -3.8495220908E-02 -1.4354699499E-05
-0.6875  1.4381196635E-01  1.2632255294E-02 -3.6852494983E-02 -6.3949914541E-04
-0.6750  1.4391316738E-01  1.1817198191E-02 -3.5244737582E-02 -1.1899019784E-03
-0.6625  1.4403794193E-01  1.0998107400E-02 -3.3668516485E-02 -1.6760159897E-03
-0.6500  1.4418662898E-01  1.0179672207E-02 -3.2121310400E-02 -2.1057588020E-03
-0.6375  1.4435889000E-01  9.3655508353E-03 -3.0601162612E-02 -2.4848762541E-03
