2 4 29 // magic number - today's date
#
# this file gives the vibration, rotation, and energy, of all 
# levels within the ground electronic state of molecular hydrogen
# The energies are in atomic units.  Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
# data are derived from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# energies (cm-1) for vib-rot levels within the B_primed elec state
# v  	J   	"E(v,J)"
0	0	110478.52
0	1	110529.44
0	2	110630.92
0	3	110782.27
0	4	110982.46
0	5	111230.11
0	6	111523.52
0	7	111860.68
0	8	112239.28
0	9	112656.74
0	10	113110.29
0	11	113596.96
0	12	114113.61
0	13	114657.02
0	14	115223.87
0	15	115810.77
0	16	116414.3
0	17	117030.97
0	18	117657.21
0	19	118289.32
1	0	112358.67
1	1	112404.59
1	2	112496.4
1	3	112633.98
1	4	112816.85
1	5	113044.04
1	6	113314.03
1	7	113625.17
1	8	113974.93
1	9	114360.78
1	10	114779.85
1	11	115229.04
1	12	115705.07
1	13	116204.46
1	14	116723.55
1	15	117258.48
1	16	117805.06
1	17	118358.62
2	0	114075.07
2	1	114118.24
2	2	114204.32
2	3	114332.87
2	4	114503.19
2	5	114714.19
2	6	114964.49
2	7	115252.41
2	8	115576.18
2	9	115934.33
2	10	116327.18
2	11	116762.6
2	12	117039.39
2	13	117524.94
2	14	117998.21
3	0	115606.65
3	1	115647.2
3	2	115728.1
3	3	115849.31
3	4	116011.11
3	5	116215.2
3	6	116467.52
3	7	116546.71
3	8	116869.25
3	9	117199.15
3	10	117541.81
3	11	117896.98
3	12	118260.16
4	0	116906.05
4	1	116937.69
4	2	117001.53
4	3	117097.94
4	4	117226.27
4	5	117384.81
4	6	117570.86
4	7	116780.8
4	8	118009.26
4	9	118248.62
5	0	117859.18
5	1	117883.78
5	2	117932.02
5	3	118001.96
5	4	118090.04
5	5	118190.1
5	6	118228.93
5	7	117780.71
5	8	118345.83
6	0	118170.22
6	1	118177.72
6	2	118192.26
6	3	118213.22
6	4	118240.3
6	5	118275.79
6	6	118292.55
6	7	118303.95
7	0	118272.26
7	1	118278.12
7	2	118289.36
7	3	118305.1
7	4	118324.32
7	5	118346.56
7	6	118345.63
7	7	118363.57
8	0	118336.05
8	1	118341.7
8	2	118348.87
8	3	118359.04
8	4	118370.51
9	0	118374.81
9	1	118376.59
