2 4 29 // magic number - today's date
#
# this file gives the vibration, rotation, and energy, of all 
# levels within the ground electronic state of molecular hydrogen
# The energies are in atomic units.  Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
# data are derived from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# NB the original data file did not include energies for J=0 states
# these energies were expolated from J=1 and molecular constants
#
# energies (cm-1) for vib-rot levels within the C_minus elec state
# v  	J   	"E(v,J)"
0	0	99100.04
0	1	99151.04
0	2	99272.55
0	3	99453.63
0	4	99692.87
0	5	99988.49
0	6	100338.3
0	7	100739.81
0	8	101190.27
0	9	101686.7
0	10	102225.98
0	11	102804.87
0	12	103420.05
0	13	104068.21
0	14	104746.04
0	15	105450.26
0	16	106177.68
0	17	106925.18
0	18	107689.77
0	19	108468.55
0	20	109258.73
0	21	110057.66
0	22	110862.81
0	23	111671.74
0	24	112482.15
0	25	113291.82
1	0	101409.3629 // all J=0 states have extrapolated energies
1	1	101456.72
1	2	101571.93
1	3	101743.62
1	4	101970.42
1	5	102250.61
1	6	102582.1
1	7	102962.49
1	8	103389.13
1	9	103859.17
1	10	104369.6
1	11	104917.29
1	12	105499.08
1	13	106111.75
1	14	106752.13
1	15	107417.04
1	16	108103.4
1	17	108808.19
1	18	109528.5
1	19	110261.49
1	20	111004.45
1	21	111754.75
1	22	112509.88
1	23	113267.4
1	24	114024.96
1	25	114780.25
2	0	103584.5857
2	1	103628.3
2	2	103737.38
2	3	103899.88
2	4	104114.53
2	5	104379.64
2	6	104693.21
2	7	105052.92
2	8	105456.24
2	9	105900.39
2	10	106382.49
2	11	106899.53
2	12	107448.44
2	13	108026.13
2	14	108629.51
2	15	109255.52
2	16	109901.16
2	17	110563.49
2	18	111239.64
2	19	111926.82
2	20	112622.32
2	21	113323.5
2	22	114027.8
2	23	114732.68
2	24	115435.67
2	25	116134.29
3	0	105628.3586
3	1	105668.43
3	2	105771.46
3	3	105924.94
3	4	106127.63
3	5	106377.91
3	6	106673.84
3	7	107013.19
3	8	107393.5
3	9	107812.12
3	10	108266.23
3	11	108752.93
3	12	109269.26
3	13	109812.19
3	14	110378.73
3	15	110965.88
3	16	111570.68
3	17	112190.23
3	18	112821.67
3	19	113462.21
3	20	114109.11
3	21	114759.67
3	22	115411.2
3	23	116061
3	24	116706.3
3	25	117344.22
4	0	107542.5214
4	1	107578.95
4	2	107676.01
4	3	107820.57
4	4	108011.42
4	5	108247.01
4	6	108525.44
4	7	108844.57
4	8	109202.01
4	9	109595.17
4	10	110021.32
4	11	110477.65
4	12	110961.23
4	13	111469.14
4	14	111998.43
4	15	112546.14
4	16	113109.35
4	17	113685.15
4	18	114270.65
4	19	114862.97
4	20	115459.22
4	21	116056.52
4	22	116651.88
4	23	117242.23
4	24	117824.23
5	0	109327.6743
5	1	109360.46
5	2	109451.54
5	3	109587.15
5	4	109766.13
5	5	109986.96
5	6	110247.81
5	7	110546.59
5	8	110880.97
5	9	111248.44
5	10	111646.34
5	11	112071.89
5	12	112522.24
5	13	112994.47
5	14	113485.63
5	15	113992.78
5	16	114512.92
5	17	115043.09
5	18	115580.27
5	19	116121.43
5	20	116663.41
5	21	117202.88
5	22	117736.25
5	23	118259.46
6	0	110982.8271
6	1	111011.97
6	2	111097.01
6	3	111223.58
6	4	111390.55
6	5	111596.45
6	6	111839.47
6	7	112117.57
6	8	112428.46
6	9	112769.68
6	10	113138.58
6	11	113532.42
6	12	113948.37
6	13	114383.51
6	14	114834.85
6	15	115299.37
6	16	115773.96
6	17	116255.43
6	18	116740.46
6	19	117225.57
6	20	117706.96
6	21	118180.3
7	0	112505.59
7	1	112531.09
7	2	112609.92
7	3	112727.2
7	4	112881.82
7	5	113072.32
7	6	113296.95
7	7	113553.67
7	8	113840.23
7	9	114154.16
7	10	114492.84
7	11	114853.48
7	12	115233.21
7	13	115629.01
7	14	116037.77
7	15	116456.24
7	16	116881.02
7	17	117308.45
7	18	117734.52
7	19	118154.71
8	0	113891.5829
8	1	113913.44
8	2	113985.8
8	3	114093.39
8	4	114235.1
8	5	114409.49
8	6	114614.8
8	7	114849.01
8	8	115109.84
8	9	115394.8
8	10	115701.18
8	11	116026.13
8	12	116366.58
8	13	116719.3
8	14	117080.83
8	15	117447.45
8	16	117815.06
8	17	118178.91
9	0	115133.8257
9	1	115152.04
9	2	115217.52
9	3	115314.79
9	4	115442.71
9	5	115599.84
9	6	115784.38
9	7	115994.25
9	8	116227.09
9	9	116480.31
9	10	116751.03
9	11	117036.16
9	12	117332.29
9	13	117635.67
9	14	117942.06
9	15	118246.46
10	0	116221.4786
10	1	116236.05
10	2	116293.98
10	3	116379.9
10	4	116492.63
10	5	116630.67
10	6	116792.14
10	7	116974.82
10	8	117176.16
10	9	117393.29
10	10	117622.92
10	11	117861.37
10	12	118104.32
10	13	118346.54
11	0	117138.6014
11	1	117149.53
11	2	117198.89
11	3	117271.88
11	4	117367.24
11	5	117483.3
11	6	117617.95
11	7	117768.67
11	8	117932.45
11	9	118105.68
11	10	118283.98
12	0	117860.5943
12	1	117867.88
12	2	117906.96
12	3	117964.34
12	4	118038.53
12	5	118127.45
12	6	118228.41
12	7	118337.88
13	0	118345.6771
13	1	118349.32
13	2	118374.38
