2 4 29 // magic number - today's date			
#H2 electronic ground state rovibrational level energies
#Taken from Table 1 of Komasa et al. (2011)
#"Quantum Electrodynamics Effects in Rovibrational Spectra of Molecular Hydrogen"
#Compiled by Kyle Kaplan Dec. 4, 2016 (thanks to Evelyne Roueff for pointing this paper out)
#
#V	J	Energy [cm^-1]
0	0	0.0000
0	1	118.4869
0	2	354.3732
0	3	705.5189
0	4	1168.7975
0	5	1740.1896
0	6	2414.8970
0	7	3187.4705
0	8	4051.9430
0	9	5001.9629
0	10	6030.9203
0	11	7132.0635
0	12	8298.6014
0	13	9523.7916
0	14	10801.0121
0	15	12123.8191
0	16	13485.9897
0	17	14881.5525
0	18	16304.8069
0	19	17750.3320
0	20	19212.9883
0	21	20687.9117
0	22	22170.5019
0	23	23656.4058
0	24	25141.4961
0	25	26621.8459
0	26	28093.6987
0	27	29553.4332
0	28	30997.5213
0	29	32422.4768
0	30	33824.7900
0	31	35200.8411
1	0	4161.1662
1	1	4273.7406
1	2	4497.8385
1	3	4831.3915
1	4	5271.3794
1	5	5813.9217
1	6	6454.3887
1	7	7187.5256
1	8	8007.5822
1	9	8908.4408
1	10	9883.7375
1	11	10926.9729
1	12	12031.6091
1	13	13191.1525
1	14	14399.2204
1	15	15649.5937
1	16	16936.2554
1	17	18253.4172
1	18	19595.5345
1	19	20957.3123
1	20	22333.7020
1	21	23719.8920
1	22	25111.2905
1	23	26503.5024
1	24	27892.3000
1	25	29273.5857
1	26	30643.3458
1	27	31997.5912
1	28	33332.2796
1	29	34643.2067
1	30	35925.8458
2	0	8087.0026
2	1	8193.7943
2	2	8406.3609
2	3	8722.7020
2	4	9139.8976
2	5	9654.1972
2	6	10261.1285
2	7	10955.6177
2	8	11732.1148
2	9	12584.7162
2	10	13507.2816
2	11	14493.5384
2	12	15537.1736
2	13	16631.9106
2	14	17771.5711
2	15	18950.1222
2	16	20161.7109
2	17	21400.6845
2	18	22661.6019
2	19	23939.2334
2	20	25228.5522
2	21	26524.7166
2	22	27823.0440
2	23	29118.9751
2	24	30408.0258
2	25	31685.7243
2	26	32947.5247
2	27	34188.6845
2	28	35404.0792
3	0	11782.3909
3	1	11883.4878
3	2	12084.6970
3	3	12384.0818
3	4	12778.8153
3	5	13265.2681
3	6	13839.1133
3	7	14495.4431
3	8	15228.8893
3	9	16033.7417
3	10	16904.0582
3	11	17833.7647
3	12	18816.7407
3	13	19846.8902
3	14	20918.1981
3	15	22024.7716
3	16	23160.8682
3	17	24320.9105
3	18	25499.4900
3	19	26691.3584
3	20	27891.4088
3	21	29094.6441
3	22	30296.1314
3	23	31490.9380
3	24	32674.0416
3	25	33840.1995
3	26	34983.7487
3	27	36098.2765#Energy. possibly innacurate
4	0	15250.3657
4	1	15345.8098
4	2	15535.7433
4	3	15818.2878
4	4	16190.7027
4	5	16649.4688
4	6	17190.3911
4	7	17808.7110
4	8	18499.2217
4	9	19256.3814
4	10	20074.4178
4	11	20947.4217
4	12	21869.4262
4	13	22834.4714
4	14	23836.6536
4	15	24870.1597
4	16	25929.2868
4	17	27008.4484
4	18	28102.1656
4	19	29205.0444
4	20	30311.7358
4	21	31416.8756
4	22	32514.9941
4	23	33600.3832
4	24	34666.8889
4	25	35707.5676
5	0	18491.9296
5	1	18581.7103
5	2	18760.3436
5	3	19026.0043
5	4	19376.0285
5	5	19806.9955
5	6	20314.8263
5	7	20894.8909
5	8	21542.1197
5	9	22251.1095
5	10	23016.2225
5	11	23831.6723
5	12	24691.5962
5	13	25590.1118
5	14	26521.3570
5	15	27479.5142
5	16	28458.8178
5	17	29453.5436
5	18	30457.9796
5	19	31466.3725
5	20	32472.8432
5	21	33471.2551
5	22	34455.0056
5	23	35416.6767
6	0	21505.7795
6	1	21589.8235
6	2	21757.0069
6	3	22005.5502
6	4	22332.8558
6	5	22735.5860
6	6	23209.7576
6	7	23750.8449
6	8	24353.8836
6	9	25013.5715
6	10	25724.3588
6	11	26480.5263
6	12	27276.2481
6	13	28105.6364
6	14	28962.7689
6	15	29841.6961
6	16	30736.4262
6	17	31640.8836
6	18	32548.8340
6	19	33453.7587
6	20	34348.6505
6	21	35225.6642
6	22	36075.4701
7	0	24287.9153
7	1	24366.0732
7	2	24521.5035
7	3	24752.4634
7	4	25056.4070
7	5	25430.0601
7	6	25869.5096
7	7	26370.3002
7	8	26927.5317
7	9	27535.9504
7	10	28190.0306
7	11	28884.0404
7	12	29612.0904
7	13	30368.1616
7	14	31146.1091
7	15	31939.6375
7	16	32742.2387
7	17	33547.0785
7	18	34346.7991
7	19	35133.1754
7	20	35896.4663
8	0	26831.0906
8	1	26903.1170
8	2	27046.2970
8	3	27258.9121
8	4	27538.4490
8	5	27881.6697
8	6	28284.6950
8	7	28743.0933
8	8	29251.9684
8	9	29806.0397
8	10	30399.7084
8	11	31027.1059
8	12	31682.1187
8	13	32358.3825
8	14	33049.2387
8	15	33747.6348
8	16	34445.9393
8	17	35135.6034
8	18	35806.5070
9	0	29124.0404
9	1	29189.5639
9	2	29319.7425
9	3	29512.8639
9	4	29766.4192
9	5	30077.1674
9	6	30441.2094
9	7	30854.0669
9	8	31310.7556
9	9	31805.8467
9	10	32333.5095
9	11	32887.5252
9	12	33461.2619
9	13	34047.5926
9	14	34638.7229
9	15	35225.8564
9	16	35798.5232
10	0	31150.3910
10	1	31208.8700
10	2	31324.9505
10	3	31496.8994
10	4	31722.1691
10	5	31997.4530
10	6	32318.7471
10	7	32681.4104
10	8	33080.2137
10	9	33509.3664
10	10	33962.5068
10	11	34432.6352
10	12	34911.9516
10	13	35391.5176
10	14	35860.5350
11	0	32887.0984
11	1	32937.7494
11	2	33038.1431
11	3	33186.4802
11	4	33380.1019
11	5	33615.5293
11	6	33888.5016
11	7	34194.0001
11	8	34526.2432
11	9	34878.6241
11	10	35243.5478
11	11	35612.0651
11	12	35973.0251
12	0	34302.1741
12	1	34343.8483
12	2	34426.2179
12	3	34547.3332
12	4	34704.2849
12	5	34893.2086
12	6	35109.2634
