2 4 29 // magic number - today's date
#
# this file gives the vibration, rotation, and trans prob, of all 
# levels within the B electronic state of molecular hydrogen
# data are taken from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
#EU	VU	JU	EL	VL	JL	A (s-1) T
1	0	0	0	0	1	9.32E+06
1	0	0	0	1	1	6.44E+07
1	0	0	0	2	1	2.01E+08
1	0	0	0	3	1	3.75E+08
1	0	0	0	4	1	4.65E+08
1	0	0	0	5	1	3.98E+08
1	0	0	0	6	1	2.35E+08
1	0	0	0	7	1	9.27E+07
1	0	0	0	8	1	2.21E+07
1	0	0	0	9	1	2.52E+06
1	0	0	0	10	1	5.80E+04
1	0	0	0	11	1	1.85E+03
1	0	0	0	12	1	2.88E+01
1	0	0	0	13	1	3.00E+01
1	0	0	0	14	1	6.55E+00
1	0	1	0	0	2	6.21E+06
1	0	1	0	0	0	3.01E+06
1	0	1	0	1	2	4.29E+07
1	0	1	0	1	0	2.10E+07
1	0	1	0	2	2	1.34E+08
1	0	1	0	2	0	6.61E+07
1	0	1	0	3	2	2.50E+08
1	0	1	0	3	0	1.25E+08
1	0	1	0	4	2	3.08E+08
1	0	1	0	4	0	1.56E+08
1	0	1	0	5	2	2.63E+08
1	0	1	0	5	0	1.35E+08
1	0	1	0	6	2	1.55E+08
1	0	1	0	6	0	8.12E+07
1	0	1	0	7	2	6.04E+07
1	0	1	0	7	0	3.25E+07
1	0	1	0	8	2	1.42E+07
1	0	1	0	8	0	7.94E+06
1	0	1	0	9	2	1.57E+06
1	0	1	0	9	0	9.39E+05
1	0	1	0	10	2	3.25E+04
1	0	1	0	10	0	2.40E+04
1	0	1	0	11	2	1.30E+03
1	0	1	0	11	0	6.43E+02
1	0	1	0	12	2	1.24E+01
1	0	1	0	12	0	1.23E+01
1	0	1	0	13	2	1.90E+01
1	0	1	0	13	0	1.07E+01
1	0	1	0	14	2	4.31E+00
1	0	1	0	14	0	2.33E+00
1	0	2	0	0	3	5.54E+06
1	0	2	0	0	1	3.51E+06
1	0	2	0	1	3	3.83E+07
1	0	2	0	1	1	2.46E+07
1	0	2	0	2	3	1.20E+08
1	0	2	0	2	1	7.81E+07
1	0	2	0	3	3	2.23E+08
1	0	2	0	3	1	1.49E+08
1	0	2	0	4	3	2.76E+08
1	0	2	0	4	1	1.88E+08
1	0	2	0	5	3	2.35E+08
1	0	2	0	5	1	1.64E+08
1	0	2	0	6	3	1.37E+08
1	0	2	0	6	1	9.94E+07
1	0	2	0	7	3	5.33E+07
1	0	2	0	7	1	4.02E+07
1	0	2	0	8	3	1.23E+07
1	0	2	0	8	1	9.89E+06
1	0	2	0	9	3	1.31E+06
1	0	2	0	9	1	1.18E+06
1	0	2	0	10	3	2.32E+04
1	0	2	0	10	1	3.00E+04
1	0	2	0	11	3	1.32E+03
1	0	2	0	11	1	8.10E+02
1	0	2	0	12	3	2.65E+00
1	0	2	0	12	1	1.72E+01
1	0	2	0	13	3	1.34E+01
1	0	2	0	13	1	1.46E+01
1	0	2	0	14	3	3.28E+00
1	0	2	0	14	1	3.11E+00
1	0	3	0	0	4	5.17E+06
1	0	3	0	0	2	3.60E+06
1	0	3	0	1	4	3.59E+07
1	0	3	0	1	2	2.55E+07
1	0	3	0	2	4	1.13E+08
1	0	3	0	2	2	8.19E+07
1	0	3	0	3	4	2.11E+08
1	0	3	0	3	2	1.58E+08
1	0	3	0	4	4	2.61E+08
1	0	3	0	4	2	2.01E+08
1	0	3	0	5	4	2.22E+08
1	0	3	0	5	2	1.78E+08
1	0	3	0	6	4	1.30E+08
1	0	3	0	6	2	1.09E+08
1	0	3	0	7	4	4.98E+07
1	0	3	0	7	2	4.44E+07
1	0	3	0	8	4	1.13E+07
1	0	3	0	8	2	1.10E+07
1	0	3	0	9	4	1.15E+06
1	0	3	0	9	2	1.31E+06
1	0	3	0	10	4	1.62E+04
1	0	3	0	10	2	3.21E+04
1	0	3	0	11	4	1.42E+03
1	0	3	0	11	2	9.87E+02
1	0	3	0	12	4	2.08E-01
1	0	3	0	12	2	1.61E+01
1	0	3	0	13	4	8.73E+00
1	0	3	0	13	2	1.66E+01
1	0	3	0	14	4	2.07E+00
1	0	3	0	14	2	3.59E+00
1	0	4	0	0	5	4.88E+06
1	0	4	0	0	3	3.55E+06
1	0	4	0	1	5	3.41E+07
1	0	4	0	1	3	2.54E+07
1	0	4	0	2	5	1.08E+08
1	0	4	0	2	3	8.26E+07
1	0	4	0	3	5	2.02E+08
1	0	4	0	3	3	1.61E+08
1	0	4	0	4	5	2.52E+08
1	0	4	0	4	3	2.08E+08
1	0	4	0	5	5	2.14E+08
1	0	4	0	5	3	1.86E+08
1	0	4	0	6	5	1.25E+08
1	0	4	0	6	3	1.15E+08
1	0	4	0	7	5	4.76E+07
1	0	4	0	7	3	4.75E+07
1	0	4	0	8	5	1.06E+07
1	0	4	0	8	3	1.18E+07
1	0	4	0	9	5	1.01E+06
1	0	4	0	9	3	1.39E+06
1	0	4	0	10	5	1.03E+04
1	0	4	0	10	3	3.18E+04
1	0	4	0	11	5	1.54E+03
1	0	4	0	11	3	1.23E+03
1	0	4	0	12	5	8.40E+00
1	0	4	0	12	3	1.08E+01
1	0	4	0	13	5	4.02E+00
1	0	4	0	13	3	1.75E+01
1	0	4	0	14	3	3.81E+00
1	0	5	0	0	6	4.60E+06
1	0	5	0	0	4	3.41E+06
1	0	5	0	1	6	3.25E+07
1	0	5	0	1	4	2.48E+07
1	0	5	0	2	6	1.03E+08
1	0	5	0	2	4	8.17E+07
1	0	5	0	3	6	1.96E+08
1	0	5	0	3	4	1.62E+08
1	0	5	0	4	6	2.45E+08
1	0	5	0	4	4	2.12E+08
1	0	5	0	5	6	2.09E+08
1	0	5	0	5	4	1.93E+08
1	0	5	0	6	6	1.22E+08
1	0	5	0	6	4	1.21E+08
1	0	5	0	7	6	4.61E+07
1	0	5	0	7	4	5.02E+07
1	0	5	0	8	6	9.94E+06
1	0	5	0	8	4	1.25E+07
1	0	5	0	9	6	8.78E+05
1	0	5	0	9	4	1.45E+06
1	0	5	0	10	6	5.45E+03
1	0	5	0	10	4	2.94E+04
1	0	5	0	11	6	1.62E+03
1	0	5	0	11	4	1.56E+03
1	0	5	0	12	6	3.26E+01
1	0	5	0	12	4	3.48E+00
1	0	5	0	13	6	5.03E-01
1	0	5	0	13	4	1.64E+01
1	0	5	0	14	4	3.24E+00
1	0	6	0	0	7	4.33E+06
1	0	6	0	0	5	3.22E+06
1	0	6	0	1	7	3.09E+07
1	0	6	0	1	5	2.38E+07
1	0	6	0	2	7	9.92E+07
1	0	6	0	2	5	7.98E+07
1	0	6	0	3	7	1.90E+08
1	0	6	0	3	5	1.61E+08
1	0	6	0	4	7	2.40E+08
1	0	6	0	4	5	2.14E+08
1	0	6	0	5	7	2.06E+08
1	0	6	0	5	5	1.98E+08
1	0	6	0	6	7	1.20E+08
1	0	6	0	6	5	1.25E+08
1	0	6	0	7	7	4.48E+07
1	0	6	0	7	5	5.26E+07
1	0	6	0	8	7	9.36E+06
1	0	6	0	8	5	1.31E+07
1	0	6	0	9	7	7.51E+05
1	0	6	0	9	5	1.47E+06
