2 4 29 // magic number - today's date
#
# this file gives the vibration, rotation, and trans prob, of all 
# levels within the B primed electronic state of molecular hydrogen
# data are taken from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
#EU	VU	JU	EL	VL	JL	A (s-1) T
4	0	0	0	0	1	2.34E+07
4	0	0	0	1	1	8.52E+07
4	0	0	0	2	1	1.25E+08
4	0	0	0	3	1	9.56E+07
4	0	0	0	4	1	4.11E+07
4	0	0	0	5	1	9.98E+06
4	0	0	0	6	1	1.21E+06
4	0	0	0	7	1	4.31E+04
4	0	0	0	8	1	4.81E+00
4	0	0	0	9	1	1.02E+02
4	0	0	0	10	1	3.64E+00
4	0	0	0	11	1	2.71E+00
4	0	0	0	12	1	1.66E+00
4	0	0	0	13	1	1.25E+00
4	0	0	0	14	1	1.18E+00
4	0	1	0	0	2	1.36E+07
4	0	1	0	0	0	6.44E+06
4	0	1	0	1	2	5.82E+07
4	0	1	0	1	0	3.57E+07
4	0	1	0	2	2	7.52E+07
4	0	1	0	2	0	4.25E+07
4	0	1	0	3	2	6.04E+07
4	0	1	0	3	0	3.20E+07
4	0	1	0	4	2	2.83E+07
4	0	1	0	4	0	1.77E+07
4	0	1	0	5	2	4.88E+06
4	0	1	0	5	0	3.57E+06
4	0	1	0	6	2	7.59E+05
4	0	1	0	6	0	1.91E+05
4	0	1	0	7	2	2.73E+05
4	0	1	0	7	0	6.11E+04
4	0	1	0	8	2	7.81E+04
4	0	1	0	8	0	1.91E+03
4	0	1	0	9	2	1.74E+03
4	0	1	0	9	0	2.82E+04
4	0	1	0	10	2	2.89E+05
4	0	1	0	10	0	6.27E+04
4	0	1	0	11	2	5.94E+03
4	0	1	0	11	0	1.87E+05
4	0	1	0	12	2	9.42E+03
4	0	1	0	12	0	2.23E+04
4	0	1	0	13	2	1.54E+03
4	0	1	0	13	0	2.53E+01
4	0	1	0	14	2	3.36E+03
4	0	1	0	14	0	3.72E+03
4	0	2	0	0	3	1.26E+07
4	0	2	0	0	1	1.05E+07
