2 4 29 // magic number - today's date
#
# this file gives the vibration, rotation, and trans prob, of all 
# levels within the C minus electronic state of molecular hydrogen
# data are taken from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
#EU	VU	JU	EL	VL	JL	A (s-1) TR.
3	0	1	0	0	1	1.56E+08
3	0	1	0	1	1	3.94E+08
3	0	1	0	2	1	3.87E+08
3	0	1	0	3	1	1.89E+08
3	0	1	0	4	1	4.80E+07
3	0	1	0	5	1	6.05E+06
3	0	1	0	6	1	3.04E+05
3	0	1	0	7	1	2.52E+03
3	0	1	0	8	1	3.74E+01
3	0	1	0	9	1	1.18E-01
3	0	1	0	10	1	5.99E-02
3	0	1	0	11	1	6.55E-03
3	0	1	0	12	1	2.71E-03
3	0	1	0	13	1	2.18E-03
3	0	1	0	14	1	1.09E-03
3	0	2	0	0	2	1.55E+08
3	0	2	0	1	2	3.94E+08
3	0	2	0	2	2	3.87E+08
3	0	2	0	3	2	1.89E+08
3	0	2	0	4	2	4.79E+07
3	0	2	0	5	2	6.01E+06
3	0	2	0	6	2	2.99E+05
3	0	2	0	7	2	2.36E+03
3	0	2	0	8	2	3.95E+01
3	0	2	0	9	2	8.51E-02
3	0	2	0	10	2	5.67E-02
3	0	2	0	11	2	5.86E-03
3	0	2	0	12	2	2.21E-03
3	0	2	0	13	2	1.80E-03
3	0	2	0	14	2	8.69E-04
3	0	3	0	0	3	1.55E+08
3	0	3	0	1	3	3.93E+08
3	0	3	0	2	3	3.86E+08
3	0	3	0	3	3	1.88E+08
3	0	3	0	4	3	4.78E+07
3	0	3	0	5	3	5.95E+06
3	0	3	0	6	3	2.91E+05
3	0	3	0	7	3	2.12E+03
3	0	3	0	8	3	4.27E+01
3	0	3	0	9	3	4.50E-02
3	0	3	0	10	3	5.22E-02
3	0	3	0	11	3	4.94E-03
3	0	3	0	12	3	1.56E-03
3	0	3	0	13	3	1.28E-03
3	0	3	0	14	3	5.63E-04
3	0	4	0	0	4	1.55E+08
3	0	4	0	1	4	3.92E+08
3	0	4	0	2	4	3.86E+08
3	0	4	0	3	4	1.88E+08
3	0	4	0	4	4	4.75E+07
3	0	4	0	5	4	5.88E+06
3	0	4	0	6	4	2.81E+05
3	0	4	0	7	4	1.83E+03
3	0	4	0	8	4	4.68E+01
3	0	4	0	9	4	1.10E-02
3	0	4	0	10	4	4.64E-02
3	0	4	0	11	4	3.96E-03
3	0	4	0	12	4	8.82E-04
3	0	4	0	13	4	7.01E-04
3	0	4	0	14	4	2.39E-04
3	0	5	0	0	5	1.54E+08
3	0	5	0	1	5	3.91E+08
3	0	5	0	2	5	3.85E+08
3	0	5	0	3	5	1.88E+08
3	0	5	0	4	5	4.73E+07
3	0	5	0	5	5	5.78E+06
3	0	5	0	6	5	2.68E+05
3	0	5	0	7	5	1.50E+03
3	0	5	0	8	5	5.16E+01
3	0	5	0	9	5	1.06E-03
3	0	5	0	10	5	3.97E-02
3	0	5	0	11	5	3.09E-03
3	0	5	0	12	5	3.48E-04
3	0	5	0	13	5	2.33E-04
3	0	6	0	0	6	1.53E+08
3	0	6	0	1	6	3.90E+08
3	0	6	0	2	6	3.85E+08
3	0	6	0	3	6	1.87E+08
3	0	6	0	4	6	4.69E+07
3	0	6	0	5	6	5.67E+06
3	0	6	0	6	6	2.53E+05
3	0	6	0	7	6	1.15E+03
3	0	6	0	8	6	5.69E+01
3	0	6	0	9	6	4.04E-02
3	0	6	0	10	6	3.22E-02
3	0	6	0	11	6	2.51E-03
3	0	6	0	12	6	6.83E-05
3	0	6	0	13	6	1.53E-05
3	0	7	0	0	7	1.52E+08
3	0	7	0	1	7	3.89E+08
3	0	7	0	2	7	3.84E+08
3	0	7	0	3	7	1.87E+08
3	0	7	0	4	7	4.66E+07
3	0	7	0	5	7	5.53E+06
3	0	7	0	6	7	2.36E+05
3	0	7	0	7	7	8.07E+02
3	0	7	0	8	7	6.20E+01
3	0	7	0	9	7	1.63E-01
3	0	7	0	10	7	2.40E-02
3	0	7	0	11	7	2.33E-03
3	0	7	0	12	7	1.98E-06
3	0	7	0	13	7	2.16E-05
3	0	8	0	0	8	1.51E+08
3	0	8	0	1	8	3.87E+08
3	0	8	0	2	8	3.83E+08
3	0	8	0	3	8	1.86E+08
3	0	8	0	4	8	4.61E+07
3	0	8	0	5	8	5.38E+06
3	0	8	0	6	8	2.17E+05
3	0	8	0	7	8	4.91E+02
3	0	8	0	8	8	6.64E+01
3	0	8	0	9	8	4.13E-01
3	0	8	0	10	8	1.50E-02
3	0	8	0	11	8	2.64E-03
3	0	8	0	12	8	1.19E-06
3	0	9	0	0	9	1.50E+08
3	0	9	0	1	9	3.85E+08
3	0	9	0	2	9	3.83E+08
3	0	9	0	3	9	1.86E+08
3	0	9	0	4	9	4.57E+07
3	0	9	0	5	9	5.21E+06
3	0	9	0	6	9	1.97E+05
3	0	9	0	7	9	2.34E+02
3	0	9	0	8	9	6.92E+01
3	0	9	0	9	9	8.48E-01
3	0	9	0	10	9	5.70E-03
3	0	9	0	11	9	3.39E-03
3	0	9	0	12	9	7.93E-05
3	0	10	0	0	10	1.48E+08
3	0	10	0	1	10	3.84E+08
3	0	10	0	2	10	3.82E+08
3	0	10	0	3	10	1.85E+08
3	0	10	0	4	10	4.52E+07
3	0	10	0	5	10	5.02E+06
3	0	10	0	6	10	1.75E+05
3	0	10	0	7	10	6.11E+01
3	0	10	0	8	10	6.92E+01
3	0	10	0	9	10	1.54E+00
3	0	10	0	10	10	1.61E-05
