2 4 29 // magic number - today's date
#
# this file gives the vibration, rotation, and trans prob, of all 
# levels within the C plus electronic state of molecular hydrogen
# data are taken from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
#EU	VU	JU	EL	VL	JL	A (s-1) T
2	0	1	0	0	2	5.98E+07
2	0	1	0	0	0	9.61E+07
2	0	1	0	1	2	1.45E+08
2	0	1	0	1	0	2.49E+08
2	0	1	0	2	2	1.33E+08
2	0	1	0	2	0	2.54E+08
2	0	1	0	3	2	5.97E+07
2	0	1	0	3	0	1.29E+08
2	0	1	0	4	2	1.51E+07
2	0	1	0	4	0	3.31E+07
2	0	1	0	5	2	2.34E+06
2	0	1	0	5	0	3.75E+06
2	0	1	0	6	2	1.21E+05
2	0	1	0	6	0	1.78E+05
2	0	1	0	7	2	1.82E+04
2	0	1	0	7	0	2.39E+04
2	0	1	0	8	2	1.71E+03
2	0	1	0	8	0	1.07E+03
2	0	1	0	9	2	2.64E+04
2	0	1	0	9	0	1.30E+04
2	0	1	0	10	2	2.92E+02
2	0	1	0	10	0	2.67E-01
2	0	1	0	11	2	2.06E+04
2	0	1	0	11	0	1.15E+04
2	0	1	0	12	2	1.02E+04
2	0	1	0	12	0	4.24E+03
2	0	1	0	13	2	2.67E+04
2	0	1	0	13	0	8.26E+03
2	0	1	0	14	2	1.99E+04
2	0	1	0	14	0	1.76E+04
2	0	2	0	0	3	7.51E+07
2	0	2	0	0	1	8.08E+07
2	0	2	0	1	3	1.81E+08
2	0	2	0	1	1	2.12E+08
2	0	2	0	2	3	1.62E+08
2	0	2	0	2	1	2.23E+08
2	0	2	0	3	3	7.03E+07
2	0	2	0	3	1	1.18E+08
2	0	2	0	4	3	1.73E+07
2	0	2	0	4	1	3.11E+07
2	0	2	0	5	3	2.89E+06
2	0	2	0	5	1	3.23E+06
2	0	2	0	6	3	1.75E+05
2	0	2	0	6	1	1.16E+05
2	0	2	0	7	3	4.29E+04
2	0	2	0	7	1	4.88E+04
2	0	2	0	8	3	7.71E+03
2	0	2	0	8	1	8.90E+03
2	0	2	0	9	3	5.86E+04
2	0	2	0	9	1	3.61E+04
2	0	2	0	10	3	3.01E+01
2	0	2	0	10	1	1.09E+03
2	0	2	0	11	3	4.97E+04
2	0	2	0	11	1	3.79E+04
2	0	2	0	12	3	1.99E+04
2	0	2	0	12	1	8.94E+03
2	0	2	0	13	3	6.50E+04
2	0	2	0	13	1	1.87E+04
2	0	2	0	14	3	2.98E+04
2	0	2	0	14	1	5.66E+04
2	0	3	0	0	4	8.24E+07
2	0	3	0	0	2	7.32E+07
2	0	3	0	1	4	2.00E+08
2	0	3	0	1	2	1.92E+08
2	0	3	0	2	4	1.78E+08
2	0	3	0	2	2	2.06E+08
2	0	3	0	3	4	7.43E+07
2	0	3	0	3	2	1.14E+08
2	0	3	0	4	4	1.73E+07
2	0	3	0	4	2	3.15E+07
2	0	3	0	5	4	3.08E+06
2	0	3	0	5	2	3.08E+06
2	0	3	0	6	4	2.59E+05
2	0	3	0	6	2	5.51E+04
2	0	3	0	7	4	6.30E+04
2	0	3	0	7	2	6.01E+04
2	0	3	0	8	4	2.84E+04
2	0	3	0	8	2	3.66E+04
2	0	3	0	9	4	9.16E+04
2	0	3	0	9	2	5.47E+04
2	0	3	0	10	4	1.50E+03
2	0	3	0	10	2	1.12E+04
2	0	3	0	11	4	9.16E+04
2	0	3	0	11	2	7.53E+04
2	0	3	0	12	4	2.51E+04
2	0	3	0	12	2	8.13E+03
2	0	3	0	13	4	1.15E+05
2	0	3	0	13	2	2.45E+04
2	0	3	0	14	4	2.30E+04
2	0	3	0	14	2	1.07E+05
2	0	4	0	0	5	8.49E+07
2	0	4	0	0	3	7.02E+07
2	0	4	0	1	5	2.13E+08
2	0	4	0	1	3	1.79E+08
2	0	4	0	2	5	1.91E+08
2	0	4	0	2	3	1.91E+08
2	0	4	0	3	5	7.64E+07
2	0	4	0	3	3	1.10E+08
2	0	4	0	4	5	1.61E+07
2	0	4	0	4	3	3.31E+07
2	0	4	0	5	5	3.05E+06
2	0	4	0	5	3	3.21E+06
2	0	4	0	6	5	4.41E+05
2	0	4	0	6	3	4.48E+03
2	0	4	0	7	5	7.39E+04
2	0	4	0	7	3	4.70E+04
2	0	4	0	8	5	1.01E+05
2	0	4	0	8	3	1.24E+05
2	0	4	0	9	5	1.33E+05
2	0	4	0	9	3	6.12E+04
2	0	4	0	10	5	1.92E+04
2	0	4	0	10	3	5.98E+04
2	0	4	0	11	5	1.78E+05
2	0	4	0	11	3	1.36E+05
2	0	4	0	12	5	2.56E+04
2	0	4	0	12	3	2.09E+03
2	0	4	0	13	5	2.10E+05
2	0	4	0	13	3	3.01E+04
2	0	4	0	14	3	1.80E+05
2	0	5	0	0	6	7.89E+07
2	0	5	0	0	4	7.44E+07
2	0	5	0	1	6	2.20E+08
2	0	5	0	1	4	1.70E+08
2	0	5	0	2	6	2.09E+08
2	0	5	0	2	4	1.70E+08
2	0	5	0	3	6	7.79E+07
2	0	5	0	3	4	1.04E+08
2	0	5	0	4	6	1.26E+07
2	0	5	0	4	4	3.75E+07
2	0	5	0	5	6	2.74E+06
2	0	5	0	5	4	3.90E+06
2	0	5	0	6	6	1.13E+06
2	0	5	0	6	4	9.68E+04
2	0	5	0	7	6	6.87E+04
2	0	5	0	7	4	4.14E+03
2	0	5	0	8	6	5.01E+05
2	0	5	0	8	4	5.33E+05
2	0	5	0	9	6	2.38E+05
2	0	5	0	9	4	4.51E+04
2	0	5	0	10	6	1.77E+05
2	0	5	0	10	4	3.61E+05
2	0	5	0	11	6	5.37E+05
2	0	5	0	11	4	3.23E+05
2	0	5	0	12	6	2.08E+04
2	0	5	0	12	4	1.02E+04
2	0	5	0	13	6	6.19E+05
2	0	5	0	13	4	5.95E+04
2	0	5	0	14	4	3.73E+05
2	0	6	0	0	7	4.14E+06
2	0	6	0	0	5	1.43E+08
2	0	6	0	1	7	1.20E+08
2	0	6	0	1	5	1.29E+08
2	0	6	0	2	7	2.27E+08
2	0	6	0	2	5	3.47E+07
2	0	6	0	3	7	5.57E+07
2	0	6	0	3	5	3.24E+07
2	0	6	0	4	7	1.39E+06
2	0	6	0	4	5	6.23E+07
2	0	6	0	5	7	1.56E+05
2	0	6	0	5	5	1.18E+07
2	0	6	0	6	7	2.03E+07
2	0	6	0	6	5	1.16E+07
2	0	6	0	7	7	9.46E+03
2	0	6	0	7	5	2.50E+06
2	0	6	0	8	7	1.75E+07
2	0	6	0	8	5	1.49E+07
2	0	6	0	9	7	2.10E+06
2	0	6	0	9	5	1.36E+05
2	0	6	0	10	7	9.40E+06
2	0	6	0	10	5	1.41E+07
2	0	6	0	11	7	1.32E+07
2	0	6	0	11	5	4.90E+06
2	0	6	0	12	7	9.27E+03
2	0	6	0	12	5	2.42E+06
2	0	6	0	13	7	1.62E+07
2	0	6	0	13	5	1.43E+06
2	0	7	0	0	8	1.23E+08
2	0	7	0	0	6	3.55E+07
2	0	7	0	1	8	2.41E+08
2	0	7	0	1	6	1.36E+08
2	0	7	0	2	8	1.75E+08
2	0	7	0	2	6	1.97E+08
2	0	7	0	3	8	7.27E+07
2	0	7	0	3	6	1.19E+08
2	0	7	0	4	8	2.47E+07
2	0	7	0	4	6	2.49E+07
2	0	7	0	5	8	3.98E+06
2	0	7	0	5	6	1.43E+06
2	0	7	0	6	8	1.78E+05
2	0	7	0	6	6	7.24E+05
2	0	7	0	7	8	2.14E+05
2	0	7	0	7	6	5.70E+05
2	0	7	0	8	8	6.05E+05
2	0	7	0	8	6	2.86E+05
2	0	7	0	9	8	1.12E+04
2	0	7	0	9	6	2.37E+05
2	0	7	0	10	8	5.95E+05
2	0	7	0	10	6	5.45E+05
2	0	7	0	11	8	3.21E+05
2	0	7	0	11	6	1.53E+04
2	0	7	0	12	8	8.58E+04
2	0	7	0	12	6	3.25E+05
2	0	7	0	13	6	5.95E+04
2	0	8	0	0	9	1.11E+08
2	0	8	0	0	7	4.39E+07
2	0	8	0	1	9	2.48E+08
2	0	8	0	1	7	1.36E+08
2	0	8	0	2	9	1.95E+08
2	0	8	0	2	7	1.78E+08
2	0	8	0	3	9	7.46E+07
2	0	8	0	3	7	1.14E+08
2	0	8	0	4	9	1.93E+07
2	0	8	0	4	7	3.08E+07
2	0	8	0	5	9	3.66E+06
2	0	8	0	5	7	2.11E+06
2	0	8	0	6	9	5.69E+03
2	0	8	0	6	7	1.32E+05
2	0	8	0	7	9	2.48E+05
2	0	8	0	7	7	3.37E+05
2	0	8	0	8	9	1.03E+05
2	0	8	0	8	7	3.83E+03
2	0	8	0	9	9	9.22E+04
2	0	8	0	9	7	2.34E+05
2	0	8	0	10	9	2.43E+05
2	0	8	0	10	7	1.10E+05
2	0	8	0	11	9	4.65E+04
2	0	8	0	11	7	1.93E+04
2	0	8	0	12	9	1.30E+05
2	0	8	0	12	7	2.24E+05
2	0	8	0	13	7	4.52E+04
2	0	9	0	0	10	9.96E+07
2	0	9	0	0	8	5.21E+07
2	0	9	0	1	10	2.52E+08
2	0	9	0	1	8	1.34E+08
2	0	9	0	2	10	2.12E+08
2	0	9	0	2	8	1.58E+08
2	0	9	0	3	10	7.34E+07
2	0	9	0	3	8	1.09E+08
2	0	9	0	4	10	1.48E+07
2	0	9	0	4	8	3.65E+07
2	0	9	0	5	10	3.77E+06
2	0	9	0	5	8	2.53E+06
2	0	9	0	6	10	2.28E+05
2	0	9	0	6	8	1.11E+04
2	0	9	0	7	10	4.69E+05
2	0	9	0	7	8	2.90E+05
2	0	9	0	8	10	8.02E+02
2	0	9	0	8	8	1.25E+05
2	0	9	0	9	10	3.68E+05
2	0	9	0	9	8	4.01E+05
2	0	9	0	10	10	2.35E+05
2	0	9	0	10	8	8.55E+03
2	0	9	0	11	10	1.83E+03
2	0	9	0	11	8	1.81E+05
2	0	9	0	12	10	4.66E+05
2	0	9	0	12	8	4.32E+05
2	0	10	0	0	11	1.71E+08
2	0	10	0	0	9	1.18E+06
2	0	10	0	1	11	1.49E+08
2	0	10	0	1	9	5.83E+07
2	0	10	0	2	11	5.48E+07
2	0	10	0	2	9	2.15E+08
2	0	10	0	3	11	5.90E+07
2	0	10	0	3	9	9.45E+07
2	0	10	0	4	11	5.19E+07
2	0	10	0	4	9	5.20E+05
2	0	10	0	5	11	4.27E+04
2	0	10	0	5	9	2.75E+05
2	0	10	0	6	11	1.05E+07
2	0	10	0	6	9	1.62E+07
2	0	10	0	7	11	3.91E+06
2	0	10	0	7	9	1.53E+04
2	0	10	0	8	11	4.83E+06
2	0	10	0	8	9	1.18E+07
2	0	10	0	9	11	1.02E+07
2	0	10	0	9	9	3.06E+06
2	0	10	0	10	11	6.96E+05
2	0	10	0	10	9	2.87E+06
2	0	10	0	11	11	1.15E+06
2	0	10	0	11	9	8.04E+06
2	0	10	0	12	9	9.39E+06
2	0	11	0	0	12	1.24E+08
2	0	11	0	0	10	3.09E+07
2	0	11	0	1	12	2.55E+08
2	0	11	0	1	10	1.18E+08
2	0	11	0	2	12	1.91E+08
2	0	11	0	2	10	1.77E+08
2	0	11	0	3	12	7.63E+07
2	0	11	0	3	10	1.15E+08
2	0	11	0	4	12	2.16E+07
2	0	11	0	4	10	2.74E+07
2	0	11	0	5	12	2.44E+06
2	0	11	0	5	10	2.05E+06
2	0	11	0	6	12	1.48E+05
2	0	11	0	6	10	5.86E+05
2	0	11	0	7	12	9.53E+03
2	0	11	0	7	10	2.15E+05
2	0	11	0	8	12	3.09E+05
2	0	11	0	8	10	2.55E+05
2	0	11	0	9	12	1.07E+05
2	0	11	0	9	10	8.46E+03
2	0	11	0	10	12	2.18E+04
2	0	11	0	10	10	2.39E+05
2	0	11	0	11	12	6.91E+04
2	0	11	0	11	10	1.52E+05
2	0	11	0	12	10	1.77E+05
2	0	12	0	0	13	1.07E+08
2	0	12	0	0	11	4.21E+07
2	0	12	0	1	13	2.61E+08
2	0	12	0	1	11	1.18E+08
2	0	12	0	2	13	2.09E+08
2	0	12	0	2	11	1.55E+08
2	0	12	0	3	13	7.21E+07
2	0	12	0	3	11	1.12E+08
2	0	12	0	4	13	1.61E+07
2	0	12	0	4	11	3.46E+07
2	0	12	0	5	13	3.25E+06
2	0	12	0	5	11	2.05E+06
2	0	12	0	6	13	6.21E+02
2	0	12	0	6	11	2.99E+04
2	0	12	0	7	13	2.77E+05
2	0	12	0	7	11	4.04E+05
2	0	12	0	8	13	2.26E+05
2	0	12	0	8	11	1.01E+04
2	0	12	0	9	13	2.59E+03
2	0	12	0	9	11	2.28E+05
2	0	12	0	10	13	1.69E+05
2	0	12	0	10	11	2.36E+05
2	0	12	0	11	11	1.99E+04
2	0	13	0	0	14	1.53E+08
2	0	13	0	0	12	7.04E+06
2	0	13	0	1	14	2.21E+08
2	0	13	0	1	12	9.85E+07
2	0	13	0	2	14	1.44E+08
2	0	13	0	2	12	2.07E+08
2	0	13	0	3	14	8.54E+07
2	0	13	0	3	12	1.06E+08
2	0	13	0	4	14	3.01E+07
2	0	13	0	4	12	1.23E+07
2	0	13	0	5	14	2.79E+04
2	0	13	0	5	12	3.22E+06
2	0	13	0	6	14	9.22E+05
2	0	13	0	6	12	4.32E+06
2	0	13	0	7	14	2.02E+06
2	0	13	0	7	12	3.65E+05
2	0	13	0	8	14	6.25E+03
2	0	13	0	8	12	1.32E+06
2	0	13	0	9	14	1.22E+06
2	0	13	0	9	12	1.91E+06
2	0	13	0	10	14	1.50E+06
2	0	13	0	10	12	1.66E+05
2	0	13	0	11	12	3.08E+05
2	0	14	0	0	15	1.19E+08
2	0	14	0	0	13	3.06E+07
2	0	14	0	1	15	2.58E+08
2	0	14	0	1	13	1.12E+08
2	0	14	0	2	15	1.98E+08
2	0	14	0	2	13	1.66E+08
2	0	14	0	3	15	7.62E+07
2	0	14	0	3	13	1.12E+08
2	0	14	0	4	15	1.86E+07
2	0	14	0	4	13	2.89E+07
2	0	14	0	5	15	1.60E+06
2	0	14	0	5	13	2.31E+06
2	0	14	0	6	15	1.18E+05
2	0	14	0	6	13	4.24E+05
2	0	14	0	7	15	3.52E+03
2	0	14	0	7	13	7.65E+04
2	0	14	0	8	15	9.63E+04
2	0	14	0	8	13	1.80E+05
2	0	14	0	9	15	1.28E+05
2	0	14	0	9	13	1.38E+04
2	0	14	0	10	15	4.72E+04
2	0	14	0	10	13	3.42E+04
2	0	15	0	0	16	6.58E+07
2	0	15	0	0	14	6.98E+07
2	0	15	0	1	16	2.57E+08
2	0	15	0	1	14	9.98E+07
2	0	15	0	2	16	2.20E+08
2	0	15	0	2	14	9.71E+07
2	0	15	0	3	16	4.73E+07
2	0	15	0	3	14	1.05E+08
2	0	15	0	4	16	8.85E+06
2	0	15	0	4	14	4.73E+07
2	0	15	0	5	16	7.31E+06
2	0	15	0	5	14	2.59E+05
2	0	15	0	6	16	1.56E+05
2	0	15	0	6	14	4.37E+05
2	0	15	0	7	16	1.66E+06
2	0	15	0	7	14	2.98E+06
2	0	15	0	8	16	2.20E+06
2	0	15	0	8	14	1.86E+05
2	0	15	0	9	16	3.51E+05
2	0	15	0	9	14	9.85E+05
2	0	15	0	10	14	1.68E+06
2	0	16	0	0	17	1.21E+08
2	0	16	0	0	15	2.60E+07
2	0	16	0	1	17	2.54E+08
2	0	16	0	1	15	1.09E+08
2	0	16	0	2	17	1.95E+08
2	0	16	0	2	15	1.69E+08
2	0	16	0	3	17	7.86E+07
2	0	16	0	3	15	1.10E+08
2	0	16	0	4	17	1.76E+07
2	0	16	0	4	15	2.66E+07
2	0	16	0	5	17	6.62E+05
2	0	16	0	5	15	2.80E+06
2	0	16	0	6	17	8.06E+04
2	0	16	0	6	15	5.22E+05
2	0	16	0	7	17	8.87E+04
2	0	16	0	7	15	4.72E+03
2	0	16	0	8	17	2.67E+03
2	0	16	0	8	15	8.99E+04
2	0	16	0	9	17	2.41E+04
2	0	16	0	9	15	1.05E+05
2	0	16	0	10	15	2.30E+04
2	0	17	0	0	18	8.58E+07
2	0	17	0	0	16	5.12E+07
2	0	17	0	1	18	2.66E+08
2	0	17	0	1	16	1.00E+08
2	0	17	0	2	18	2.11E+08
2	0	17	0	2	16	1.25E+08
2	0	17	0	3	18	5.65E+07
2	0	17	0	3	16	1.14E+08
2	0	17	0	4	18	1.34E+07
2	0	17	0	4	16	3.71E+07
2	0	17	0	5	18	3.19E+06
2	0	17	0	5	16	4.52E+05
2	0	17	0	6	18	6.91E+05
2	0	17	0	6	16	5.48E+04
2	0	17	0	7	18	1.80E+04
2	0	17	0	7	16	9.41E+05
2	0	17	0	8	18	5.48E+05
2	0	17	0	8	16	7.34E+05
2	0	17	0	9	16	3.09E+04
2	0	18	0	0	19	1.18E+08
2	0	18	0	0	17	2.54E+07
2	0	18	0	1	19	2.51E+08
2	0	18	0	1	17	1.08E+08
2	0	18	0	2	19	1.96E+08
2	0	18	0	2	17	1.68E+08
2	0	18	0	3	19	7.78E+07
2	0	18	0	3	17	1.08E+08
2	0	18	0	4	19	1.49E+07
2	0	18	0	4	17	2.62E+07
2	0	18	0	5	19	2.87E+05
2	0	18	0	5	17	2.89E+06
2	0	18	0	6	19	2.79E+04
2	0	18	0	6	17	3.15E+05
2	0	18	0	7	19	6.15E+04
2	0	18	0	7	17	4.66E+04
2	0	18	0	8	19	3.37E+04
2	0	18	0	8	17	7.01E+03
2	0	18	0	9	17	3.97E+04
2	0	19	0	0	20	1.70E+07
2	0	19	0	0	18	9.86E+07
2	0	19	0	1	20	2.07E+08
2	0	19	0	1	18	4.44E+07
2	0	19	0	2	20	1.46E+08
2	0	19	0	2	18	3.10E+07
2	0	19	0	3	20	9.15E+06
2	0	19	0	3	18	9.78E+07
2	0	19	0	4	20	1.05E+07
2	0	19	0	4	18	3.54E+07
2	0	19	0	5	20	7.78E+06
2	0	19	0	5	18	4.50E+06
2	0	19	0	6	20	7.82E+06
2	0	19	0	6	18	7.03E+05
2	0	19	0	7	20	1.02E+06
2	0	19	0	7	18	4.27E+06
2	0	19	0	8	18	7.01E+06
2	0	20	0	0	21	1.12E+08
2	0	20	0	0	19	2.71E+07
2	0	20	0	1	21	2.51E+08
2	0	20	0	1	19	1.07E+08
