2 4 29 // magic number - today's date
#
# this file gives the vibration, rotation, transition probability, of all 
# levels within the D minus electronic state of molecular hydrogen
# data are taken from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
#EU	VU	JU	EL	VL	JL	A (s-1) T
6	0	1	0	0	1	3.81E+07
6	0	1	0	1	1	1.06E+08
6	0	1	0	2	1	1.18E+08
6	0	1	0	3	1	6.76E+07
6	0	1	0	4	1	2.10E+07
6	0	1	0	5	1	3.41E+06
6	0	1	0	6	1	2.57E+05
6	0	1	0	7	1	5.47E+03
6	0	1	0	8	1	1.39E+01
6	0	1	0	9	1	2.68E-02
6	0	1	0	10	1	1.16E-01
6	0	1	0	11	1	2.98E+00
6	0	1	0	12	1	4.27E+00
6	0	1	0	13	1	2.21E-01
6	0	1	0	14	1	1.57E-03
6	0	2	0	0	2	3.80E+07
6	0	2	0	1	2	1.06E+08
6	0	2	0	2	2	1.18E+08
6	0	2	0	3	2	6.77E+07
6	0	2	0	4	2	2.10E+07
6	0	2	0	5	2	3.40E+06
6	0	2	0	6	2	2.54E+05
6	0	2	0	7	2	5.27E+03
6	0	2	0	8	2	1.52E+01
6	0	2	0	9	2	5.65E-03
6	0	2	0	10	2	1.14E-01
6	0	2	0	11	2	2.41E+00
6	0	2	0	12	2	3.85E+00
6	0	2	0	13	2	2.22E-01
6	0	2	0	14	2	3.27E-03
6	0	3	0	0	3	3.78E+07
6	0	3	0	1	3	1.06E+08
6	0	3	0	2	3	1.18E+08
6	0	3	0	3	3	6.77E+07
6	0	3	0	4	3	2.10E+07
6	0	3	0	5	3	3.38E+06
6	0	3	0	6	3	2.49E+05
6	0	3	0	7	3	4.96E+03
6	0	3	0	8	3	1.74E+01
6	0	3	0	9	3	8.77E-04
6	0	3	0	10	3	1.21E-01
6	0	3	0	11	3	1.85E+00
6	0	3	0	12	3	3.46E+00
6	0	3	0	13	3	2.29E-01
6	0	3	0	14	3	6.14E-03
6	0	4	0	0	4	3.77E+07
6	0	4	0	1	4	1.06E+08
6	0	4	0	2	4	1.18E+08
6	0	4	0	3	4	6.77E+07
6	0	4	0	4	4	2.10E+07
6	0	4	0	5	4	3.36E+06
6	0	4	0	6	4	2.44E+05
6	0	4	0	7	4	4.57E+03
6	0	4	0	8	4	2.05E+01
6	0	4	0	9	4	2.30E-02
6	0	4	0	10	4	1.34E-01
6	0	4	0	11	4	1.33E+00
6	0	4	0	12	4	3.02E+00
6	0	4	0	13	4	2.36E-01
6	0	4	0	14	4	8.86E-03
6	0	5	0	0	5	3.74E+07
6	0	5	0	1	5	1.06E+08
6	0	5	0	2	5	1.18E+08
6	0	5	0	3	5	6.78E+07
6	0	5	0	4	5	2.09E+07
6	0	5	0	5	5	3.33E+06
6	0	5	0	6	5	2.37E+05
6	0	5	0	7	5	4.10E+03
6	0	5	0	8	5	2.49E+01
6	0	5	0	9	5	6.67E-02
6	0	5	0	10	5	1.78E-01
6	0	5	0	11	5	1.06E+00
6	0	5	0	12	5	2.91E+00
6	0	5	0	13	5	2.63E-01
6	0	6	0	0	6	3.72E+07
6	0	6	0	1	6	1.05E+08
6	0	6	0	2	6	1.18E+08
6	0	6	0	3	6	6.78E+07
6	0	6	0	4	6	2.09E+07
6	0	6	0	5	6	3.30E+06
6	0	6	0	6	6	2.28E+05
6	0	6	0	7	6	3.57E+03
6	0	6	0	8	6	3.07E+01
6	0	6	0	9	6	1.32E-01
6	0	6	0	10	6	2.68E-01
6	0	6	0	11	6	9.51E-01
6	0	6	0	12	6	3.08E+00
6	0	6	0	13	6	3.14E-01
6	0	7	0	0	7	3.69E+07
6	0	7	0	1	7	1.05E+08
6	0	7	0	2	7	1.18E+08
6	0	7	0	3	7	6.79E+07
6	0	7	0	4	7	2.09E+07
6	0	7	0	5	7	3.25E+06
6	0	7	0	6	7	2.18E+05
6	0	7	0	7	7	3.00E+03
6	0	7	0	8	7	3.81E+01
6	0	7	0	9	7	2.35E-01
6	0	7	0	10	7	4.78E-01
6	0	7	0	11	7	1.12E+00
6	0	7	0	12	7	4.03E+00
6	0	7	0	13	7	4.38E-01
6	0	8	0	0	8	3.66E+07
6	0	8	0	1	8	1.04E+08
6	0	8	0	2	8	1.18E+08
6	0	8	0	3	8	6.80E+07
6	0	8	0	4	8	2.08E+07
6	0	8	0	5	8	3.21E+06
6	0	8	0	6	8	2.07E+05
6	0	8	0	7	8	2.44E+03
6	0	8	0	8	8	4.77E+01
6	0	8	0	9	8	5.92E-01
6	0	8	0	10	8	1.25E+00
6	0	8	0	11	8	2.39E+00
6	0	8	0	12	8	9.11E+00
6	0	9	0	0	9	3.53E+07
6	0	9	0	1	9	1.06E+08
6	0	9	0	2	9	1.17E+08
6	0	9	0	3	9	6.75E+07
6	0	9	0	4	9	2.16E+07
6	0	9	0	5	9	3.00E+06
6	0	9	0	6	9	1.46E+05
6	0	9	0	7	9	1.86E+04
6	0	9	0	8	9	6.79E+02
6	0	9	0	9	9	6.82E+03
6	0	9	0	10	9	9.18E+03
6	0	9	0	11	9	2.04E+04
6	0	9	0	12	9	8.66E+04
6	0	10	0	0	10	3.58E+07
6	0	10	0	1	10	1.03E+08
6	0	10	0	2	10	1.18E+08
6	0	10	0	3	10	6.83E+07
6	0	10	0	4	10	2.07E+07
6	0	10	0	5	10	3.09E+06
6	0	10	0	6	10	1.80E+05
6	0	10	0	7	10	1.15E+03
6	0	10	0	8	10	6.31E+01
6	0	10	0	9	10	9.50E-01
6	0	10	0	10	10	1.69E-01
6	0	10	0	11	10	8.81E-01
6	0	10	0	12	10	5.40E+00
6	0	11	0	0	11	3.53E+07
6	0	11	0	1	11	1.03E+08
6	0	11	0	2	11	1.18E+08
