2 4 29 // magic number - today's date
#
# this file gives the vibration, rotation, and transition probability, of all 
# levels within the D plus electronic state of molecular hydrogen
# data are taken from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
#EU	VU	JU	EL	VL	JL	A (s-1) T
5	0	1	0	0	2	1.59E+07
5	0	1	0	0	0	2.22E+07
5	0	1	0	1	2	4.37E+07
5	0	1	0	1	0	6.24E+07
5	0	1	0	2	2	4.66E+07
5	0	1	0	2	0	7.14E+07
5	0	1	0	3	2	2.40E+07
5	0	1	0	3	0	4.34E+07
5	0	1	0	4	2	5.73E+06
5	0	1	0	4	0	1.53E+07
5	0	1	0	5	2	4.52E+05
5	0	1	0	5	0	3.25E+06
5	0	1	0	6	2	1.45E+02
5	0	1	0	6	0	4.26E+05
5	0	1	0	7	2	1.15E+04
5	0	1	0	7	0	2.97E+04
5	0	1	0	8	2	1.53E+03
5	0	1	0	8	0	4.46E+02
5	0	1	0	9	2	4.42E+01
5	0	1	0	9	0	8.33E+00
5	0	1	0	10	2	1.78E+01
5	0	1	0	10	0	4.10E-02
5	0	1	0	11	2	6.24E+01
5	0	1	0	11	0	1.35E+02
5	0	1	0	12	2	6.65E+01
5	0	1	0	12	0	1.31E+02
5	0	1	0	13	2	3.68E+00
5	0	1	0	13	0	2.97E+00
5	0	1	0	14	2	2.11E-02
5	0	1	0	14	0	1.91E-01
5	0	2	0	0	3	2.06E+07
5	0	2	0	0	1	1.75E+07
5	0	2	0	1	3	5.66E+07
5	0	2	0	1	1	4.96E+07
5	0	2	0	2	3	5.95E+07
5	0	2	0	2	1	5.79E+07
5	0	2	0	3	3	2.95E+07
5	0	2	0	3	1	3.73E+07
5	0	2	0	4	3	6.37E+06
5	0	2	0	4	1	1.48E+07
5	0	2	0	5	3	3.16E+05
5	0	2	0	5	1	3.81E+06
5	0	2	0	6	3	2.39E+04
5	0	2	0	6	1	6.70E+05
5	0	2	0	7	3	3.19E+04
5	0	2	0	7	1	7.36E+04
5	0	2	0	8	3	2.80E+03
5	0	2	0	8	1	2.77E+03
5	0	2	0	9	3	3.19E+01
5	0	2	0	9	1	5.69E+00
5	0	2	0	10	3	2.63E+01
5	0	2	0	10	1	2.11E+01
5	0	2	0	11	3	2.47E-03
5	0	2	0	11	1	1.15E+00
5	0	2	0	12	3	1.04E+00
5	0	2	0	12	1	1.27E-01
5	0	2	0	13	3	1.98E-01
5	0	2	0	13	1	2.26E-03
5	0	2	0	14	3	3.96E-02
5	0	2	0	14	1	8.03E-03
5	0	3	0	0	4	2.33E+07
5	0	3	0	0	2	1.50E+07
5	0	3	0	1	4	6.35E+07
5	0	3	0	1	2	4.16E+07
5	0	3	0	2	4	6.72E+07
5	0	3	0	2	2	5.02E+07
5	0	3	0	3	4	3.26E+07
5	0	3	0	3	2	3.38E+07
5	0	3	0	4	4	6.35E+06
5	0	3	0	4	2	1.44E+07
5	0	3	0	5	4	2.01E+05
5	0	3	0	5	2	4.45E+06
5	0	3	0	6	4	6.41E+04
5	0	3	0	6	2	9.86E+05
5	0	3	0	7	4	7.35E+04
5	0	3	0	7	2	1.08E+05
5	0	3	0	8	4	7.53E+03
5	0	3	0	8	2	3.14E+03
5	0	3	0	9	4	2.00E+03
5	0	3	0	9	2	5.21E+02
5	0	3	0	10	4	3.61E+01
5	0	3	0	10	2	5.47E+01
5	0	3	0	11	4	2.59E+03
5	0	3	0	11	2	2.73E+03
5	0	3	0	12	4	1.35E+03
5	0	3	0	12	2	3.00E+03
5	0	3	0	13	4	3.12E+01
5	0	3	0	13	2	3.51E+01
5	0	3	0	14	4	4.44E-01
5	0	3	0	14	2	9.75E+00
5	0	4	0	0	5	2.49E+07
5	0	4	0	0	3	1.32E+07
5	0	4	0	1	5	6.81E+07
5	0	4	0	1	3	3.69E+07
5	0	4	0	2	5	7.26E+07
5	0	4	0	2	3	4.44E+07
5	0	4	0	3	5	3.48E+07
5	0	4	0	3	3	3.09E+07
5	0	4	0	4	5	6.42E+06
5	0	4	0	4	3	1.43E+07
5	0	4	0	5	5	1.37E+05
5	0	4	0	5	3	4.90E+06
5	0	4	0	6	5	1.28E+05
5	0	4	0	6	3	1.28E+06
5	0	4	0	7	5	1.01E+05
5	0	4	0	7	3	1.82E+05
5	0	4	0	8	5	6.65E+03
5	0	4	0	8	3	5.67E+03
5	0	4	0	9	5	9.97E+02
5	0	4	0	9	3	4.04E+02
5	0	4	0	10	5	9.53E+01
5	0	4	0	10	3	8.13E+00
5	0	4	0	11	5	9.36E+02
5	0	4	0	11	3	1.54E+03
5	0	4	0	12	5	7.85E+02
5	0	4	0	12	3	7.20E+02
5	0	4	0	13	5	8.09E+01
5	0	4	0	13	3	7.39E+00
5	0	4	0	14	3	1.54E+01
5	0	5	0	0	6	2.53E+07
5	0	5	0	0	4	1.21E+07
5	0	5	0	1	6	7.15E+07
5	0	5	0	1	4	3.38E+07
5	0	5	0	2	6	7.60E+07
5	0	5	0	2	4	4.01E+07
5	0	5	0	3	6	3.66E+07
5	0	5	0	3	4	2.83E+07
5	0	5	0	4	6	6.74E+06
5	0	5	0	4	4	1.40E+07
5	0	5	0	5	6	8.44E+04
5	0	5	0	5	4	5.28E+06
5	0	5	0	6	6	2.04E+05
5	0	5	0	6	4	1.51E+06
5	0	5	0	7	6	1.08E+05
5	0	5	0	7	4	2.73E+05
5	0	5	0	8	6	6.45E+03
5	0	5	0	8	4	1.68E+04
5	0	5	0	9	6	2.83E+02
5	0	5	0	9	4	1.62E+01
5	0	5	0	10	6	2.11E+02
5	0	5	0	10	4	8.02E+01
5	0	5	0	11	6	1.55E+02
5	0	5	0	11	4	9.29E+01
5	0	5	0	12	6	2.18E+02
5	0	5	0	12	4	3.34E+02
5	0	5	0	13	6	3.37E+01
5	0	5	0	13	4	3.62E+00
5	0	5	0	14	4	6.36E-01
5	0	6	0	0	7	2.54E+07
